"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2018-11-24",250000,0,0,0,0
"2018-11-25",250000,0,0,0,0
"2018-11-26",251565,0.01,249962,1268,0
"2018-11-27",253894,0.01,251644,1268,0
"2018-11-28",253556,0.01,253427,1268,0
"2018-11-29",255758,0.01,254881,1692,0
"2018-11-30",258112,0,255476,423,0.00571428571428571
"2018-12-01",258112,0,0,0,0.00571428571428571
"2018-12-02",258112,0,0,0,0.00571428571428571
"2018-12-03",258483,4.88,254016,1238479,0.701428571428571
"2018-12-04",259979,0.01,259737,1692,0.701428571428571
"2018-12-05",262375,0.04,259315,9308,0.705714285714286
"2018-12-06",258843,0.03,262428,7192,0.708571428571429
"2018-12-07",260761,0.01,258457,1704,0.71
"2018-12-08",260761,0,0,0,0.71
"2018-12-09",260761,0,0,0,0.71
"2018-12-10",261862,0,260479,426,0.0128571428571429
"2018-12-11",262025,0.01,261913,1704,0.0128571428571429
"2018-12-12",260513,0.01,261532,1704,0.00857142857142857
"2018-12-13",259525,0.01,260637,1704,0.00571428571428571
"2018-12-14",259091,0.06,259417,14482,0.0128571428571429
"2018-12-15",259091,0,0,0,0.0128571428571429
"2018-12-16",259091,0,0,0,0.0128571428571429
"2018-12-17",261534,0.02,258947,5105,0.0157142857142857
"2018-12-18",266755,0.03,262085,7679,0.0185714285714286
"2018-12-19",270354,31.52,256970,8100000,4.52
"2018-12-20",259540,31.71,255408,8100000,9.04857142857143
"2018-12-21",194746,45.22,232864,10530000,15.5
"2018-12-22",194746,0,0,0,15.5
"2018-12-23",194746,0,0,0,15.5
"2018-12-24",194746,0,0,0,15.4971428571429
"2018-12-25",194746,0,0,0,15.4928571428571
"2018-12-26",194746,0,0,0,10.99
"2018-12-27",194746,0,0,0,6.46
"2018-12-28",194746,0,0,0,0
"2018-12-29",194746,0,0,0,0
"2018-12-30",194746,0,0,0,0
"2018-12-31",194746,0,0,0,0
