"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2019-03-26",50379.15,1.7,50146,85296,0
"2019-03-27",50552.16,1.82,50320,91506,0
"2019-03-28",50242.16,1.82,50160,91506,0
"2019-03-29",50016.16,1.83,49934,91506,0
"2019-03-30",50016.16,1.83,49934,91506,0
"2019-03-31",50016.16,1.83,49934,91506,0
"2019-04-01",49564.16,1.85,49482,91506,1.81142857142857
"2019-04-02",50652.16,1.81,50570,91506,1.82714285714286
"2019-04-03",49388.32,1.92,49306,94514,1.84142857142857
"2019-04-04",49157.16,1.92,49041,94134,1.85571428571429
"2019-04-05",48817.83,2.04,49074,100350,1.88571428571429
"2019-04-06",48817.83,2,48736,97656,1.91
"2019-04-07",48817.83,2,48736,97656,1.93428571428571
"2019-04-08",49067.38,2.06,48734,100169,1.96428571428571
"2019-04-09",49262.38,2.04,49180,100308,1.99714285714286
"2019-04-10",49107.03,2.05,49115,100472,2.01571428571429
"2019-04-11",48869.07,2.05,48806,100084,2.03428571428571
"2019-04-12",48449.66,2.05,48102,98824,2.03571428571429
"2019-04-13",48449.66,2.05,48368,98985,2.04285714285714
"2019-04-14",48449.66,2.05,48368,98985,2.05
"2019-04-15",48587.66,2.04,48506,98985,2.04714285714286
"2019-04-16",48581.88,2.1,48505,101823,2.05571428571429
"2019-04-17",48497.68,2.09,48577,101473,2.06142857142857
"2019-04-18",54770.68,1.8,54689,98207,2.02571428571429
"2019-04-19",54770.68,1.8,54689,98207,1.99
"2019-04-20",54770.68,1.8,54689,98207,1.95428571428571
"2019-04-21",54770.68,1.8,54689,98207,1.91857142857143
"2019-04-22",54729.68,1.8,54648,98207,1.88428571428571
"2019-04-23",54343.68,1.81,54262,98207,1.84285714285714
"2019-04-24",54887.68,1.79,54806,98207,1.8
"2019-04-25",54854.68,1.8,54691,98207,1.8
"2019-04-26",54372.68,1.81,54209,98207,1.80142857142857
"2019-04-27",54372.68,1.81,54209,98207,1.80285714285714
"2019-04-28",54372.68,1.81,54209,98207,1.80428571428571
"2019-04-29",53798.68,1.83,53635,98207,1.80857142857143
"2019-04-30",54025.68,1.82,53862,98207,1.81
"2019-05-01",53873.68,1.83,53710,98207,1.81571428571429
"2019-05-02",54131.68,1.82,53968,98207,1.81857142857143
"2019-05-03",54151.68,1.82,53988,98207,1.82
"2019-05-04",54151.68,1.82,53988,98207,1.82142857142857
"2019-05-05",54151.68,1.82,53988,98207,1.82285714285714
"2019-05-06",54323.68,1.81,54160,98207,1.82
"2019-05-07",55380.68,1.78,55217,98207,1.81428571428571
"2019-05-08",55351.68,1.78,55188,98207,1.80714285714286
"2019-05-09",55426.68,1.78,55263,98207,1.80142857142857
"2019-05-10",55429.68,1.78,55266,98207,1.79571428571429
"2019-05-11",55429.68,1.78,55266,98207,1.79
"2019-05-12",55429.68,1.78,55266,98207,1.78428571428571
"2019-05-13",57188.68,1.72,57025,98207,1.77142857142857
"2019-05-14",56592.68,1.74,56429,98207,1.76571428571429
"2019-05-15",56569.68,1.74,56406,98207,1.76
"2019-05-16",56393.68,1.75,56230,98207,1.75571428571429
"2019-05-17",56881.68,1.73,56718,98207,1.74857142857143
"2019-05-18",56881.68,1.73,56718,98207,1.74142857142857
"2019-05-19",56881.68,1.73,56718,98207,1.73428571428571
"2019-05-20",57337.68,1.72,57174,98207,1.73428571428571
"2019-05-21",56600.68,1.74,56437,98207,1.73428571428571
"2019-05-22",57030.68,1.73,56867,98207,1.73285714285714
"2019-05-23",58148.68,1.69,57985,98207,1.72428571428571
"2019-05-24",58148.68,1.69,57985,98207,1.71857142857143
"2019-05-25",58148.68,1.69,57985,98207,1.71285714285714
"2019-05-26",58148.68,1.69,57985,98207,1.70714285714286
"2019-05-27",58148.68,1.69,57985,98207,1.70285714285714
"2019-05-28",58148.68,1.69,57985,98207,1.69571428571429
"2019-05-29",58148.68,1.69,57985,98207,1.69
"2019-05-30",58148.68,1.69,57985,98207,1.69
"2019-05-31",61386.68,1.61,61141,98207,1.67857142857143
"2019-06-01",61386.68,1.61,61141,98207,1.66714285714286
"2019-06-02",61386.68,1.61,61141,98207,1.65571428571429
"2019-06-03",61386.68,1.61,61141,98207,1.64428571428571
"2019-06-04",61386.68,1.61,61141,98207,1.63285714285714
"2019-06-05",61386.68,1.61,61141,98207,1.62142857142857
"2019-06-06",61386.68,1.61,61141,98207,1.61
"2019-06-07",61386.68,1.61,61141,98207,1.61
"2019-06-08",61386.68,1.61,61141,98207,1.61
"2019-06-09",61386.68,1.61,61141,98207,1.61
"2019-06-10",61386.68,1.61,61141,98207,1.61
"2019-06-11",58989.68,1.67,58744,98207,1.61857142857143
"2019-06-12",58989.68,1.67,58744,98207,1.62714285714286
"2019-06-13",58989.68,1.67,58744,98207,1.63571428571429
"2019-06-14",58989.68,1.67,58744,98207,1.64428571428571
"2019-06-15",58989.68,1.67,58744,98207,1.65285714285714
"2019-06-16",58989.68,1.67,58744,98207,1.66142857142857
"2019-06-17",58989.68,1.67,58744,98207,1.67
"2019-06-18",58989.68,1.67,58744,98207,1.67
