"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2016-07-14",25006.5,1.96,24891,48812,0
"2016-07-15",24914.5,1.97,24807,48812,0
"2016-07-16",24914.5,1.97,24807,48812,0
"2016-07-17",24914.5,1.97,24807,48812,0
"2016-07-18",25237.5,1.94,25130,48812,0
"2016-07-19",25066.5,1.96,24959,48812,0
"2016-07-20",25625.5,1.91,25518,48812,1.95428571428571
"2016-07-21",25525.5,1.92,25418,48812,1.94857142857143
"2016-07-22",25720.5,1.91,25613,48812,1.94
"2016-07-23",25720.5,1.91,25613,48812,1.93142857142857
"2016-07-24",25720.5,1.91,25613,48812,1.92285714285714
"2016-07-25",25735.5,1.9,25628,48812,1.91714285714286
"2016-07-26",25792.5,1.9,25685,48812,1.90857142857143
"2016-07-27",26125.5,1.88,26018,48812,1.90428571428571
"2016-07-28",26314.5,1.86,26207,48812,1.89571428571429
"2016-07-29",26429.5,1.85,26322,48812,1.88714285714286
"2016-07-30",26429.5,1.85,26322,48812,1.87857142857143
"2016-07-31",26429.5,1.85,26322,48812,1.87
"2016-08-01",26707.5,1.84,26600,48812,1.86142857142857
"2016-08-02",26302.5,1.86,26195,48812,1.85571428571429
"2016-08-03",26468.5,1.85,26361,48812,1.85142857142857
"2016-08-04",26627.5,1.84,26520,48812,1.84857142857143
"2016-08-05",27145.5,1.81,27038,48812,1.84285714285714
"2016-08-06",27145.5,1.81,27038,48812,1.83714285714286
"2016-08-07",27145.5,1.81,27038,48812,1.83142857142857
"2016-08-08",27086.5,1.81,26979,48812,1.82714285714286
"2016-08-09",27208.5,1.8,27101,48812,1.81857142857143
"2016-08-10",27065.5,1.81,26958,48812,1.81285714285714
"2016-08-11",27302.5,1.79,27195,48812,1.80571428571429
"2016-08-12",27264.5,0.9,27194,24406,1.67571428571429
"2016-08-13",27264.5,0.9,27049,24406,1.54571428571429
"2016-08-14",27264.5,0.9,27049,24406,1.41571428571429
"2016-08-15",27413.5,1.8,27048,48812,1.41428571428571
"2016-08-16",27242.5,0.9,27196,24406,1.28571428571429
"2016-08-17",27242.5,0,0,0,1.02714285714286
"2016-08-18",27242.5,0,0,0,0.771428571428571
"2016-08-19",27248.13,1,27020,26964,0.785714285714286
"2016-08-20",27248.13,1,27032,26964,0.8
"2016-08-21",27248.13,1,27032,26964,0.814285714285714
"2016-08-22",27236.13,1,27020,26964,0.7
"2016-08-23",27054.13,3.03,26838,81324,1.00428571428571
"2016-08-24",26892.13,3.05,26676,81324,1.44
"2016-08-25",26840.13,3.05,26624,81324,1.87571428571429
"2016-08-26",26625.76,2.04,26616,54359,2.02428571428571
"2016-08-27",26625.76,0,0,0,1.88142857142857
"2016-08-28",26625.76,0,0,0,1.73857142857143
"2016-08-29",26587.76,0.98,26409,25935,1.73571428571429
"2016-08-30",26466.76,0.98,26369,25946,1.44285714285714
"2016-08-31",26466.76,0,0,0,1.00714285714286
"2016-09-01",26417.76,1.01,26250,26512,0.715714285714286
"2016-09-02",26498.56,3.01,26347,79231,0.854285714285714
"2016-09-03",26498.56,3.01,26283,79231,1.28428571428571
"2016-09-04",26498.56,3.01,26283,79231,1.71428571428571
"2016-09-05",26498.56,3.01,26283,79231,2.00428571428571
"2016-09-06",26660.56,3,26445,79231,2.29285714285714
"2016-09-07",26681.56,2.99,26466,79231,2.72
"2016-09-08",26502.12,1,26286,26207,2.71857142857143
"2016-09-09",27159.12,0.97,26943,26207,2.42714285714286
"2016-09-10",27159.12,0.97,26943,26207,2.13571428571429
"2016-09-11",27159.12,0.97,26943,26207,1.84428571428571
"2016-09-12",27319.92,0,26937,0,1.41428571428571
"2016-09-13",27319.92,0,0,0,0.985714285714286
