"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2019-04-08",49546,1.64,49314,81000,0
"2019-04-09",49806,1.63,49574,81000,0
"2019-04-10",49892,3.28,49430,162000,0
"2019-04-11",51384,0,49692,0,0
"2019-04-12",51384,0,0,0,0
"2019-04-13",51384,0,0,0,0
"2019-04-14",51384,0,0,0,0.935714285714286
"2019-04-15",52998,2.32,51136,118496,1.03285714285714
"2019-04-16",52670,2.26,52438,118496,1.12285714285714
"2019-04-17",51382,0,51750,0,0.654285714285714
"2019-04-18",51382,0,0,0,0.654285714285714
"2019-04-19",51382,0,0,0,0.654285714285714
"2019-04-20",51382,0,0,0,0.654285714285714
"2019-04-21",51382,0,0,0,0.654285714285714
"2019-04-22",50978,1.6,50746,81000,0.551428571428571
"2019-04-23",51424,3.18,50982,162000,0.682857142857143
"2019-04-24",52184,3.12,51952,162000,1.12857142857143
"2019-04-25",53344,3.05,53112,162000,1.56428571428571
"2019-04-26",54718,2.17,54486,118496,1.87428571428571
"2019-04-27",54718,2.17,54486,118496,2.18428571428571
"2019-04-28",54638,2.18,54406,118496,2.49571428571429
"2019-04-29",56778,2.1,56546,118496,2.56714285714286
"2019-04-30",56650,0,56048,0,2.11285714285714
"2019-05-01",59912,2.1,56410,118496,1.96714285714286
"2019-05-02",59874,0,59122,0,1.53142857142857
"2019-05-03",59874,0,0,0,1.22142857142857
"2019-05-04",59874,0,0,0,0.911428571428571
"2019-05-05",59874,0,0,0,0.6
"2019-05-06",59874,0,0,0,0.3
"2019-05-07",59874,0,0,0,0.3
"2019-05-08",59874,0,0,0,0
"2019-05-09",59874,0,0,0,0
"2019-05-10",59141,2.11,58677,123552,0.301428571428571
"2019-05-11",59141,2.11,58677,123552,0.602857142857143
"2019-05-12",61108,0,58669,0,0.602857142857143
"2019-05-13",61108,0,0,0,0.602857142857143
"2019-05-14",61108,0,0,0,0.602857142857143
"2019-05-15",61108,0,0,0,0.602857142857143
"2019-05-16",62115,1.95,60636,118496,0.881428571428571
"2019-05-17",63897,0.94,63093,59248,0.714285714285714
"2019-05-18",63897,0,0,0,0.412857142857143
"2019-05-19",63897,0,0,0,0.412857142857143
"2019-05-20",63897,0,0,0,0.412857142857143
"2019-05-21",63897,0,0,0,0.412857142857143
"2019-05-22",63897,0,0,0,0.412857142857143
"2019-05-23",63897,0,0,0,0.134285714285714
"2019-05-24",65681,1.87,63433,118496,0.267142857142857
"2019-05-25",65681,0,0,0,0.267142857142857
"2019-05-26",65681,0,0,0,0.267142857142857
"2019-05-27",65681,0,0,0,0.267142857142857
"2019-05-28",65681,0,0,0,0.267142857142857
"2019-05-29",65963,1.82,65204,118496,0.527142857142857
"2019-05-30",66385,0,66081,0,0.527142857142857
"2019-05-31",66385,0,0,0,0.26
"2019-06-01",66385,0,0,0,0.26
"2019-06-02",66385,0,0,0,0.26
"2019-06-03",66385,0,0,0,0.26
"2019-06-04",66385,0,0,0,0.26
"2019-06-05",68124,1.8,65905,118496,0.257142857142857
"2019-06-06",68124,0,0,0,0.257142857142857
"2019-06-07",68176,1.76,67480,118496,0.508571428571429
"2019-06-08",68176,1.76,67480,118496,0.76
"2019-06-09",67896,1.76,67200,118496,1.01142857142857
"2019-06-10",65028,0,66792,0,1.01142857142857
"2019-06-11",65028,0,0,0,1.01142857142857
"2019-06-12",65028,0,0,0,0.754285714285714
