"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2019-09-05",25000,0,0,0,0
"2019-09-06",25000,0,0,0,0
"2019-09-07",25000,0,0,0,0
"2019-09-08",25000,0,0,0,0
"2019-09-09",25000,0,0,0,0
"2019-09-10",25000,0,0,0,0
"2019-09-11",25000,0,0,0,0
"2019-09-12",25000,0,0,0,0
"2019-09-13",25000,0,0,0,0
"2019-09-14",25000,0,0,0,0
"2019-09-15",25000,0,0,0,0
"2019-09-16",25000,0,0,0,0
"2019-09-17",25000,0,0,0,0
"2019-09-18",25000,0,0,0,0
"2019-09-19",25000,0,0,0,0
"2019-09-20",25000,0,0,0,0
"2019-09-21",25000,0,0,0,0
"2019-09-22",25000,0,0,0,0
"2019-09-23",25000,0,0,0,0
"2019-09-24",25000,0,0,0,0
"2019-09-25",25000,0,0,0,0
"2019-09-26",25000,0,0,0,0
"2019-09-27",25000,0,0,0,0
"2019-09-28",25000,0,0,0,0
"2019-09-29",25000,0,0,0,0
"2019-09-30",25000,0,0,0,0
"2019-10-01",25000,0,0,0,0
"2019-10-02",25000,0,0,0,0
"2019-10-03",25000,0,0,0,0
"2019-10-04",25000,0,0,0,0
"2019-10-05",25000,0,0,0,0
"2019-10-06",25000,0,0,0,0
"2019-10-07",24960,1.19,24735,29347,0.17
"2019-10-08",24755,0,24695,0,0.17
"2019-10-09",24702,1.19,24490,29075,0.34
"2019-10-10",24710,0,24437,0,0.34
"2019-10-11",24907,1.21,24444,29627,0.512857142857143
"2019-10-12",24907,0,0,0,0.512857142857143
"2019-10-13",24907,0,0,0,0.512857142857143
"2019-10-14",24907,0,0,0,0.342857142857143
"2019-10-15",24907,0,0,0,0.342857142857143
"2019-10-16",24907,0,0,0,0.172857142857143
"2019-10-17",24907,0,0,0,0.172857142857143
"2019-10-18",24907,0,0,0,0
"2019-10-19",24907,0,0,0,0
"2019-10-20",24907,0,0,0,0
"2019-10-21",24907,0,0,0,0
"2019-10-22",24749,1.23,24485,30058,0.175714285714286
"2019-10-23",24720,0,24484,0,0.175714285714286
"2019-10-24",24720,0,0,0,0.175714285714286
"2019-10-25",24720,0,0,0,0.175714285714286
"2019-10-26",24720,0,0,0,0.175714285714286
"2019-10-27",24720,0,0,0,0.175714285714286
"2019-10-28",24755,1.24,24455,30294,0.352857142857143
"2019-10-29",24724,0,24490,0,0.177142857142857
"2019-10-30",24724,0,0,0,0.177142857142857
"2019-10-31",24643,1.25,24379,30413,0.355714285714286
"2019-11-01",24890,0,24378,0,0.355714285714286
"2019-11-02",24890,0,0,0,0.355714285714286
"2019-11-03",24890,0,0,0,0.355714285714286
"2019-11-04",24890,0,0,0,0.178571428571429
"2019-11-05",24890,0,0,0,0.178571428571429
"2019-11-06",24890,0,0,0,0.178571428571429
"2019-11-07",24890,0,0,0,0
"2019-11-08",25003,1.26,24493,30780,0.18
"2019-11-09",25003,1.25,24607,30780,0.358571428571429
"2019-11-10",25003,1.25,24607,30780,0.537142857142857
"2019-11-11",24944,1.25,24548,30780,0.715714285714286
"2019-11-12",25009,1.25,24613,30780,0.894285714285714
"2019-11-13",25019,1.25,24623,30780,1.07285714285714
"2019-11-14",25064,1.25,24668,30780,1.25142857142857
"2019-11-15",25210,0,24667,0,1.07142857142857
"2019-11-16",25210,0,0,0,0.892857142857143
"2019-11-17",25210,0,0,0,0.714285714285714
"2019-11-18",25210,0,0,0,0.535714285714286
"2019-11-19",25210,0,0,0,0.357142857142857
"2019-11-20",25158,1.26,24762,31128,0.358571428571429
"2019-11-21",25169,0,24761,0,0.18
"2019-11-22",25155,1.26,24772,31109,0.36
"2019-11-23",25155,1.26,24759,31109,0.54
"2019-11-24",25155,1.26,24759,31109,0.72
"2019-11-25",25256,0,24758,0,0.72
"2019-11-26",25256,0,0,0,0.72
"2019-11-27",25256,0,0,0,0.54
"2019-11-28",25256,0,0,0,0.54
"2019-11-29",25200,1.27,24859,31486,0.541428571428571
"2019-11-30",25200,1.27,24804,31486,0.542857142857143
"2019-12-01",25200,1.27,24804,31486,0.544285714285714
"2019-12-02",24933,1.28,24537,31486,0.727142857142857
"2019-12-03",24633,0,24536,0,0.727142857142857
"2019-12-04",24633,0,0,0,0.727142857142857
"2019-12-05",24633,0,0,0,0.727142857142857
"2019-12-06",24633,0,0,0,0.545714285714286
"2019-12-07",24633,0,0,0,0.364285714285714
"2019-12-08",24633,0,0,0,0.182857142857143
"2019-12-09",24633,0,0,0,0
"2019-12-10",24633,0,0,0,0
"2019-12-11",24671,1.3,24104,31403,0.185714285714286
"2019-12-12",24942,1.29,24414,31403,0.37
"2019-12-13",24915,0,24413,0,0.37
