"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2016-09-12",10000,0,0,0,0
"2016-09-13",10886.5,0.87,9997,8705,0
"2016-09-14",10854.5,0.48,10855,5223,0
"2016-09-15",11065.25,0.81,10850,8807,0
"2016-09-16",11225.25,0.78,11225,8807,0
"2016-09-17",11225.25,0.78,11225,8807,0
"2016-09-18",11225.25,0.78,11225,8807,0.642857142857143
"2016-09-19",11461.25,0.77,11461,8807,0.752857142857143
"2016-09-20",11511.25,0.77,11449,8807,0.738571428571429
"2016-09-21",12218.25,0.72,12156,8807,0.772857142857143
"2016-09-22",12619.25,0.7,12557,8807,0.757142857142857
"2016-09-23",12523.25,0.71,12461,8807,0.747142857142857
"2016-09-24",12523.25,0.71,12461,8807,0.737142857142857
"2016-09-25",12523.25,0.71,12461,8807,0.727142857142857
"2016-09-26",11932.25,0.74,11870,8807,0.722857142857143
"2016-09-27",12451.25,0.71,12389,8807,0.714285714285714
"2016-09-28",12594.25,0.7,12532,8807,0.711428571428571
"2016-09-29",11948.25,0.74,11886,8807,0.717142857142857
"2016-09-30",12341.25,0.72,12279,8807,0.718571428571429
"2016-10-01",12341.25,0.72,12279,8807,0.72
"2016-10-02",12341.25,0.72,12279,8807,0.721428571428571
"2016-10-03",12440.25,0.71,12378,8807,0.717142857142857
"2016-10-04",12435.25,0.71,12373,8807,0.717142857142857
"2016-10-05",12542.25,0.71,12480,8807,0.718571428571429
"2016-10-06",12627.25,0.7,12565,8807,0.712857142857143
"2016-10-07",12597.25,0.7,12535,8807,0.71
"2016-10-08",12597.25,0.7,12535,8807,0.707142857142857
"2016-10-09",12597.25,0.7,12535,8807,0.704285714285714
"2016-10-10",12817.25,0.69,12755,8807,0.701428571428571
"2016-10-11",12229.25,0.72,12167,8807,0.702857142857143
"2016-10-12",12207.25,0.73,12145,8807,0.705714285714286
"2016-10-13",11912.25,0.74,11850,8807,0.711428571428571
