"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2017-08-19",8000,0,0,0,0
"2017-08-20",7964.8,4.07,7764,31597,0
"2017-08-21",7248.4,4.51,7047,31788,0
"2017-08-22",6508.4,5.04,6307,31806,0
"2017-08-23",7256.4,4.51,7055,31806,0
"2017-08-24",6692.4,4.9,6491,31807,0
"2017-08-25",7400.4,4.42,7199,31807,3.92142857142857
"2017-08-26",7400.4,4.42,7199,31807,4.55285714285714
"2017-08-27",7749.2,0.06,7549,421,3.98
"2017-08-28",8346,1.94,8145,15795,3.61285714285714
"2017-08-29",8812,7.68,8231,63181,3.99
"2017-08-30",7453.4,8.71,7252,63181,4.59
"2017-08-31",9640.6,0,8600,0,3.89
"2017-09-01",10395.8,4.99,9387,46806,3.97142857142857
"2017-09-02",10395.8,0,0,0,3.34
"2017-09-03",10395.8,0,0,0,3.33142857142857
"2017-09-04",10395.8,0,0,0,3.05428571428571
"2017-09-05",10550.8,3.4,9704,32979,2.44285714285714
"2017-09-06",10934.8,0,10720,0,1.19857142857143
"2017-09-07",9330.8,3.02,9130,27557,1.63
"2017-09-08",10995.8,4.38,9158,40083,1.54285714285714
"2017-09-09",10995.8,1.78,10795,19200,1.79714285714286
"2017-09-10",10792.8,1.81,10592,19200,2.05571428571429
"2017-09-11",11190.8,0,10592,0,2.05571428571429
"2017-09-12",11190.8,0,0,0,1.57
"2017-09-13",10944.8,0.97,10727,10356,1.70857142857143
"2017-09-14",11842.8,0.63,11531,7282,1.36714285714286
"2017-09-15",11510.8,0.02,11310,174,0.744285714285714
"2017-09-16",11510.8,0.02,11310,174,0.492857142857143
"2017-09-17",11750.8,0,11522,0,0.234285714285714
"2017-09-18",11852.8,0.53,11549,6112,0.31
"2017-09-19",11636,3.84,11322,43531,0.858571428571429
"2017-09-20",11547,2.85,10463,29865,1.12714285714286
"2017-09-21",14580,1.84,12835,23598,1.3
"2017-09-22",14050,1.55,14106,21916,1.51857142857143
"2017-09-23",14120,1.11,13718,15277,1.67428571428571
"2017-09-24",15222,0.29,14088,4038,1.71571428571429
"2017-09-25",15260,0.27,14886,3990,1.67857142857143
"2017-09-26",15403,0.11,14925,1592,1.14571428571429
"2017-09-27",15578,0.21,15077,3150,0.768571428571429
"2017-09-28",15585,0.43,15183,6453,0.567142857142857
"2017-09-29",15615,0.66,15031,9948,0.44
"2017-09-30",15615,0.45,15213,6867,0.345714285714286
"2017-10-01",15678,0.7,15213,10707,0.404285714285714
"2017-10-02",15472,0.91,15064,13754,0.495714285714286
"2017-10-03",15212,0.73,14810,10869,0.584285714285714
"2017-10-04",15286,0.73,14884,10815,0.658571428571429
"2017-10-05",14626,0.76,14224,10781,0.705714285714286
"2017-10-06",14207,0.78,13805,10815,0.722857142857143
"2017-10-07",14207,0.78,13805,10815,0.77
"2017-10-08",14688,1.22,13805,16827,0.844285714285714
"2017-10-09",15546,0.95,14677,14003,0.85
"2017-10-10",15651,0.14,15249,2096,0.765714285714286
