"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2017-07-03",25144.55,0.33,24995,8200,0
"2017-07-04",25144.55,0.33,25145,8200,0
"2017-07-05",25173.55,0.33,25174,8200,0
"2017-07-06",25268.1,0.67,25231,16858,0
"2017-07-07",25366.65,0.58,25209,14690,0
"2017-07-08",25366.65,0.26,25367,6490,0
"2017-07-09",25366.65,0.26,25367,6490,0.394285714285714
"2017-07-10",25396.7,0.8,25361,20170,0.461428571428571
"2017-07-11",25347.7,0.8,25216,20170,0.528571428571429
"2017-07-12",25370.25,1.11,25210,28070,0.64
"2017-07-13",25289.25,0.31,25122,7900,0.588571428571429
"2017-07-14",25120.25,0.32,24988,7900,0.551428571428571
"2017-07-15",25071.25,0.32,24939,7900,0.56
"2017-07-16",25071.25,0.32,24939,7900,0.568571428571429
"2017-07-17",25071.25,0.32,24939,7900,0.5
"2017-07-18",25083.25,0.32,24951,7900,0.431428571428571
"2017-07-19",24653.25,0.32,24521,7900,0.318571428571429
"2017-07-20",24697.25,0.69,24503,16800,0.372857142857143
"2017-07-21",24533.25,0.69,24401,16800,0.425714285714286
"2017-07-22",24421.25,0.69,24289,16800,0.478571428571429
"2017-07-23",24421.25,0.69,24289,16800,0.531428571428571
"2017-07-24",24109.25,0.7,23977,16800,0.585714285714286
"2017-07-25",24195.25,0.7,24063,16800,0.64
"2017-07-26",24211.25,0.7,24079,16800,0.694285714285714
"2017-07-27",24385.3,1.04,23943,24950,0.744285714285714
"2017-07-28",24687.3,1.02,24555,24950,0.791428571428571
"2017-07-29",24687.3,1.02,24555,24950,0.838571428571429
"2017-07-30",24687.3,1.02,24555,24950,0.885714285714286
"2017-07-31",24599.3,1.02,24467,24950,0.931428571428571
"2017-08-01",24413.4,1.39,24455,34104,1.03
"2017-08-02",24549.45,1.4,24499,34254,1.13
"2017-08-03",24891.45,1.01,24759,25100,1.12571428571429
"2017-08-04",24913.45,1.01,24781,25100,1.12428571428571
"2017-08-05",24917.45,1.01,24785,25100,1.12285714285714
"2017-08-06",24917.45,1.01,24785,25100,1.12142857142857
"2017-08-07",24781.45,1.02,24649,25100,1.12142857142857
"2017-08-08",25139.45,1,25007,25100,1.06571428571429
"2017-08-09",25669.45,0.99,25405,25100,1.00714285714286
"2017-08-10",26173.5,1.26,25400,32010,1.04285714285714
"2017-08-11",25377.5,0.28,25114,6910,0.938571428571429
"2017-08-12",25399.5,0.27,25136,6910,0.832857142857143
"2017-08-13",25399.5,0.27,25136,6910,0.727142857142857
