"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2016-07-31",997443,4.47,997443,4453716,0
"2016-08-01",985785,6.15,985785,6067020,0
"2016-08-02",947495,7.43,947495,7040245,0
"2016-08-03",967422,7.2,967422,6961112,0
"2016-08-04",951114,7.5,951114,7130598,0
"2016-08-05",969406,7.4,969406,7172444,0
"2016-08-06",969406,7.32,969406,7094956,6.78142857142857
"2016-08-07",959569,7.66,959569,7353548,7.23714285714286
"2016-08-08",952635,7.63,952635,7269895,7.44857142857143
"2016-08-09",965506,7.5,965506,7245875,7.45857142857143
"2016-08-10",975144,7.44,975144,7256911,7.49285714285714
"2016-08-11",947645,8.19,947645,7760309,7.59142857142857
"2016-08-12",939817,7.96,939817,7482769,7.67142857142857
"2016-08-13",939817,7.87,939817,7392681,7.75
"2016-08-14",930793,7.94,930793,7392681,7.79
"2016-08-15",940822,8.14,940822,7660491,7.86285714285714
"2016-08-16",939587,7.95,939587,7473419,7.92714285714286
"2016-08-17",929693,8.26,929693,7674824,8.04428571428571
"2016-08-18",939989,7.95,939989,7468276,8.01
"2016-08-19",903972,7.54,903972,6818679,7.95
"2016-08-20",903972,7.51,903972,6786679,7.89857142857143
"2016-08-21",871917,8.27,871917,7213307,7.94571428571429
"2016-08-22",850547,8.69,850547,7395014,8.02428571428571
"2016-08-23",852485,8.81,852485,7509539,8.14714285714286
"2016-08-24",873766,8.34,873766,7284195,8.15857142857143
"2016-08-25",879657,9.77,879657,8592037,8.41857142857143
"2016-08-26",904698,8.36,904698,7566166,8.53571428571428
"2016-08-27",904698,7.68,904698,6952452,8.56
"2016-08-28",894373,8.08,894373,7224766,8.53285714285714
"2016-08-29",880106,7.94,880106,6986262,8.42571428571429
"2016-08-30",878686,8.12,877653,7128169,8.32714285714286
"2016-08-31",872553,8.39,871520,7309487,8.33428571428571
"2016-09-01",854330,8.9,853297,7597699,8.21
"2016-09-02",901249,8.05,900216,7248587,8.16571428571429
"2016-09-03",901249,8.05,900216,7248587,8.21857142857143
"2016-09-04",896222,8.24,895189,7378410,8.24142857142857
"2016-09-05",884927,8.34,883894,7374542,8.29857142857143
"2016-09-06",866354,8.15,865321,7054176,8.30285714285714
"2016-09-07",891274,9.01,890241,8024262,8.39142857142857
"2016-09-08",923191,8.66,922158,7982468,8.35714285714286
"2016-09-09",828996,9.04,827963,7483230,8.49857142857143
"2016-09-10",828996,9.02,827963,7471030,8.63714285714286
"2016-09-11",799720,9.72,798687,7759254,8.84857142857143
"2016-09-12",864878,8.96,863845,7739954,8.93714285714286
"2016-09-13",845864,10.01,844831,8457121,9.20285714285714
"2016-09-14",866339,8.9,865306,7702280,9.18714285714286
"2016-09-15",850750,9.63,849717,8178746,9.32571428571429
"2016-09-16",887964,5.36,886931,4754872,8.8
"2016-09-17",887964,4.2,886931,3725062,8.11142857142857
"2016-09-18",900563,4.12,899530,3706210,7.31142857142857
"2016-09-19",908948,3.63,907915,3295447,6.55
"2016-09-20",904781,12.75,903748,11525320,6.94142857142857
"2016-09-21",909284,7.74,908251,7030215,6.77571428571429
"2016-09-22",923032,7.5,921999,6917436,6.47142857142857
"2016-09-23",916651,4.85,915618,4439304,6.39857142857143
"2016-09-24",916651,3.89,915618,3559519,6.35428571428571
"2016-09-25",924264,4.55,923231,4200495,6.41571428571429
"2016-09-26",914694,5.35,913661,4887291,6.66142857142857
"2016-09-27",887750,6.47,886717,5734600,5.76428571428571
"2016-09-28",875246,7.71,874213,6743688,5.76
"2016-09-29",873387,7.91,871321,6891239,5.81857142857143
"2016-09-30",886630,7.63,884564,6746338,6.21571428571429
"2016-10-01",886630,7.63,884564,6746338,6.75
"2016-10-02",878909,7.57,876843,6637547,7.18142857142857
"2016-10-03",876863,4.49,874797,3931598,7.05857142857143
"2016-10-04",888818,6.58,886752,5836727,7.07428571428571
"2016-10-05",894472,7.2,892406,6423737,7.00142857142857
"2016-10-06",883296,5.65,881230,4983043,6.67857142857143
"2016-10-07",897408,5.87,895342,5258065,6.42714285714286
"2016-10-08",897408,5.68,895342,5088338,6.14857142857143
"2016-10-09",882776,6.9,880710,6076012,6.05285714285714
"2016-10-10",879059,7.89,876993,6919959,6.53857142857143
"2016-10-11",878442,6.04,876376,5294252,6.46142857142857
"2016-10-12",877569,1.29,875503,1127251,5.61714285714286
"2016-10-13",856834,8.16,854768,6976191,5.97571428571429
"2016-10-14",851821,8.2,849755,6970880,6.30857142857143
"2016-10-15",851821,8.2,849755,6970880,6.66857142857143
"2016-10-16",856147,8.16,854081,6970880,6.84857142857143
"2016-10-17",860900,8.12,858834,6970287,6.88142857142857
"2016-10-18",855165,8.17,853099,6967474,7.18571428571429
"2016-10-19",855545,8.17,853479,6969357,8.16857142857143
"2016-10-20",845071,8.27,843005,6968447,8.18428571428571
"2016-10-21",848798,8.22,846732,6963791,8.18714285714286
"2016-10-22",848798,8.22,846732,6963791,8.19
"2016-10-23",848151,8.23,846085,6963789,8.2
"2016-10-24",878485,7.87,876419,6894510,8.16428571428571
"2016-10-25",888309,7.79,886243,6901530,8.11
"2016-10-26",887213,7.79,885147,6898094,8.05571428571429
"2016-10-27",871967,7.93,869901,6898131,8.00714285714286
"2016-10-28",884858,7.81,882792,6898357,7.94857142857143
"2016-10-29",884858,7.82,881759,6898357,7.89142857142857
"2016-10-30",882896,7.84,879797,6898357,7.83571428571429
"2016-10-31",885208,7.82,882109,6901670,7.82857142857143
"2016-11-01",934541,7.41,931442,6903788,7.77428571428571
"2016-11-02",966349,7.18,963250,6914809,7.68714285714286
"2016-11-03",959713,7.23,956614,6916256,7.58714285714286
"2016-11-04",967498,7.17,964399,6913070,7.49571428571429
"2016-11-05",967498,7.17,964399,6913070,7.40285714285714
"2016-11-06",955548,7.26,952449,6913068,7.32
"2016-11-07",953734,7.27,950635,6907663,7.24142857142857
"2016-11-08",1010645,6.86,1007546,6908916,7.16285714285714
"2016-11-09",970371,7.14,967272,6907783,7.15714285714286
"2016-11-10",964158,7.18,961059,6903204,7.15
"2016-11-11",939773,7.37,936674,6904662,7.17857142857143
"2016-11-12",939773,7.37,936674,6904662,7.20714285714286
"2016-11-13",929015,7.46,925916,6904661,7.23571428571429
"2016-11-14",910375,7.53,907276,6834753,7.27285714285714
"2016-11-15",886841,7.72,883742,6820016,7.39571428571429
"2016-11-16",885346,7.72,882247,6809351,7.47857142857143
"2016-11-17",861719,7.93,858620,6810449,7.58571428571429
"2016-11-18",866573,7.87,863474,6794077,7.65714285714286
"2016-11-19",866573,7.87,863474,6794077,7.72857142857143
"2016-11-20",869712,7.84,866613,6794077,7.78285714285714
"2016-11-21",900181,7.4,897082,6635240,7.76428571428571
"2016-11-22",898964,7.34,895865,6577775,7.71
"2016-11-23",890763,7.41,887664,6580819,7.66571428571429
"2016-11-24",889572,7.08,886473,6277774,7.54428571428571
"2016-11-25",907185,6.88,904086,6219173,7.40285714285714
"2016-11-26",907185,6.88,904086,6219173,7.26142857142857
"2016-11-27",917103,6.8,914004,6219173,7.11285714285714
"2016-11-28",912395,6.76,908263,6137898,7.02142857142857
"2016-11-29",915013,6.74,910881,6140792,6.93571428571429
"2016-11-30",897889,6.8,893757,6075898,6.84857142857143
"2016-12-01",896659,6.66,892527,5944464,6.78857142857143
"2016-12-02",906673,6.4,902541,5773536,6.72
"2016-12-03",906673,6.4,902541,5773536,6.65142857142857
"2016-12-04",894290,6.49,890158,5773536,6.60714285714286
"2016-12-05",898346,6.35,894214,5679789,6.54857142857143
"2016-12-06",881721,6.13,877589,5379869,6.46142857142857
"2016-12-07",891003,5.96,886871,5285591,6.34142857142857
"2016-12-08",869856,6.01,865724,5204891,6.24857142857143
"2016-12-09",859790,5.99,855658,5128479,6.19
"2016-12-10",859790,5.99,855658,5128479,6.13142857142857
"2016-12-11",856463,6.02,852331,5128479,6.06428571428571
"2016-12-12",864201,5.89,860069,5068655,5.99857142857143
"2016-12-13",868459,5.8,864327,5009480,5.95142857142857
"2016-12-14",851862,5.82,847730,4932385,5.93142857142857
"2016-12-15",826193,5.71,822061,4692221,5.88857142857143
"2016-12-16",834255,5.58,830123,4631506,5.83
"2016-12-17",834255,5.11,830123,4237930,5.70428571428571
"2016-12-18",835183,4.95,831051,4114378,5.55142857142857
"2016-12-19",835177,4.75,831045,3946499,5.38857142857143
