"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2017-09-01",248970.68,1.01,249972,251293,0
"2017-09-02",248970.68,1.01,248971,251293,0
"2017-09-03",248970.68,1.01,248971,251293,0
"2017-09-04",248970.68,1.01,248971,251293,0
"2017-09-05",247863.68,1.01,247864,251293,0
"2017-09-06",248623.68,1.01,248624,251293,0
"2017-09-07",249009.68,1.01,249010,251293,1.01
"2017-09-08",250472.68,1,250473,251293,1.00857142857143
"2017-09-09",250472.68,1,250473,251293,1.00714285714286
"2017-09-10",250472.68,1,250473,251293,1.00571428571429
"2017-09-11",252031.68,1,252032,251293,1.00428571428571
"2017-09-12",252532.68,1,252533,251293,1.00285714285714
"2017-09-13",252184.68,1,252185,251293,1.00142857142857
"2017-09-14",252035.68,1,252036,251293,1
"2017-09-15",252387.68,1,252388,251293,1
"2017-09-16",252387.68,1,252388,251293,1
"2017-09-17",252387.68,1,252388,251293,1
"2017-09-18",253402.68,0.99,253403,251293,0.998571428571429
"2017-09-19",253734.68,0.99,253735,251293,0.997142857142857
"2017-09-20",253458.68,0.99,253459,251293,0.995714285714286
"2017-09-21",253193.68,0.99,253194,251293,0.994285714285714
"2017-09-22",253374.68,0.99,253375,251293,0.992857142857143
"2017-09-23",253374.68,0.99,253375,251293,0.991428571428571
"2017-09-24",253374.68,0.99,253375,251293,0.99
"2017-09-25",252403.68,1,252404,251293,0.991428571428571
"2017-09-26",251356.68,1,251357,251293,0.992857142857143
"2017-09-27",251961.68,1,251962,251293,0.994285714285714
"2017-09-28",252133.68,1,252134,251293,0.995714285714286
"2017-09-29",253200.68,0.99,253201,251293,0.995714285714286
"2017-09-30",253200.68,0.99,253201,251293,0.995714285714286
"2017-10-01",253200.68,0.99,253168,251293,0.995714285714286
"2017-10-02",253701.94,0.99,253348,250891,0.994285714285714
"2017-10-03",254387.94,0.99,254355,250816,0.992857142857143
"2017-10-04",254438.94,0.99,254406,250816,0.991428571428571
"2017-10-05",254906.94,0.98,254874,250816,0.988571428571429
"2017-10-06",255043.94,0.98,255011,250816,0.987142857142857
"2017-10-07",255043.94,0.98,255011,250816,0.985714285714286
"2017-10-08",255043.94,0.98,255011,250816,0.984285714285714
"2017-10-09",254992.94,0.98,254960,250816,0.982857142857143
"2017-10-10",256486.94,0.98,256454,250816,0.981428571428571
"2017-10-11",256836.94,0.98,256804,250816,0.98
"2017-10-12",257525.94,0.97,257493,250816,0.978571428571429
"2017-10-13",257976.94,0.97,257944,250816,0.977142857142857
"2017-10-14",257976.94,0.97,257944,250816,0.975714285714286
"2017-10-15",257976.94,0.97,257944,250816,0.974285714285714
"2017-10-16",258067.94,0.97,258035,250816,0.972857142857143
"2017-10-17",257913.94,0.97,257881,250816,0.971428571428571
"2017-10-18",258258.94,0.97,258226,250816,0.97
"2017-10-19",258255.94,0.97,258223,250816,0.97
"2017-10-20",258856.94,0.97,258824,250816,0.97
"2017-10-21",258856.94,0.97,258824,250816,0.97
"2017-10-22",258856.94,0.97,258824,250816,0.97
"2017-10-23",258324.94,0.97,258292,250816,0.97
"2017-10-24",258783.94,0.97,258751,250816,0.97
"2017-10-25",258143.94,0.97,258111,250816,0.97
"2017-10-26",258465.94,0.97,258433,250816,0.97
"2017-10-27",259029.94,0.97,258997,250816,0.97
"2017-10-28",259029.94,0.97,258997,250816,0.97
"2017-10-29",259029.94,0.97,258997,250816,0.97
"2017-10-30",258561.94,0.97,258529,250816,0.97
"2017-10-31",259078.94,0.97,259013,250816,0.97
"2017-11-01",259219.94,0.97,259154,250816,0.97
"2017-11-02",259481.94,0.97,259416,250816,0.97
"2017-11-03",259586.97,0.98,259413,253415,0.971428571428571
"2017-11-04",259586.97,0.97,259521,251300,0.971428571428571
"2017-11-05",259586.97,0.97,259521,251300,0.971428571428571
"2017-11-06",259878.97,0.97,259813,251300,0.971428571428571
"2017-11-07",259903.97,0.97,259838,251300,0.971428571428571
"2017-11-08",260425.97,0.97,260360,251300,0.971428571428571
"2017-11-09",259591.97,0.97,259526,251300,0.971428571428571
"2017-11-10",259521.97,0.97,259456,251300,0.97
"2017-11-11",259521.97,0.97,259456,251300,0.97
"2017-11-12",259521.97,0.97,259456,251300,0.97
"2017-11-13",259431.97,0.97,259366,251300,0.97
"2017-11-14",259344.97,0.97,259279,251300,0.97
"2017-11-15",258504.97,0.97,258439,251300,0.97
"2017-11-16",260088.97,0.97,260023,251300,0.97
"2017-11-17",259782.97,0.97,259717,251300,0.97
"2017-11-18",259782.97,0.97,259717,251300,0.97
"2017-11-19",259782.97,0.97,259717,251300,0.97
"2017-11-20",260141.97,0.97,260076,251300,0.97
"2017-11-21",261337.97,0.96,261272,251300,0.968571428571429
"2017-11-22",261275.97,0.96,261210,251300,0.967142857142857
"2017-11-23",261275.97,0.96,261210,251300,0.965714285714286
"2017-11-24",261792.97,0.96,261727,251300,0.964285714285714
"2017-11-25",261792.97,0.96,261727,251300,0.962857142857143
"2017-11-26",261792.97,0.96,261727,251300,0.961428571428571
"2017-11-27",261226.97,0.96,261161,251300,0.96
"2017-11-28",262550.97,0.96,262485,251300,0.96
"2017-11-29",262880.97,0.96,262815,251300,0.96
"2017-11-30",263388.97,0.95,263290,251300,0.958571428571429
"2017-12-01",262805.97,0.96,262707,251300,0.958571428571429
"2017-12-02",262805.97,0.96,262707,251300,0.958571428571429
"2017-12-03",262805.97,0.96,262707,251300,0.958571428571429
"2017-12-04",262304.76,0.97,262966,255584,0.96
"2017-12-05",261772.76,0.96,261674,251297,0.96
"2017-12-06",261380.76,0.96,261282,251297,0.96
"2017-12-07",261862.76,0.96,261764,251297,0.961428571428571
"2017-12-08",262903.76,0.96,262805,251297,0.961428571428571
"2017-12-09",262903.76,0.96,262805,251297,0.961428571428571
"2017-12-10",262903.76,0.96,262805,251297,0.961428571428571
"2017-12-11",263249.76,0.95,263151,251297,0.958571428571429
"2017-12-12",263275.76,0.95,263177,251297,0.957142857142857
"2017-12-13",264321.76,0.95,264223,251297,0.955714285714286
"2017-12-14",263357.76,0.95,263259,251297,0.954285714285714
"2017-12-15",264228.76,0.95,264130,251297,0.952857142857143
"2017-12-16",264228.76,0.95,264130,251297,0.951428571428571
"2017-12-17",264228.76,0.95,264130,251297,0.95
"2017-12-18",265612.76,0.95,265514,251297,0.95
"2017-12-19",262910.76,0.96,262812,251297,0.951428571428571
"2017-12-20",263147.76,0.96,263049,251297,0.952857142857143
"2017-12-21",262982.76,0.96,262884,251297,0.954285714285714
"2017-12-22",263266.76,0.95,263168,251297,0.954285714285714
"2017-12-23",263266.76,0.95,263168,251297,0.954285714285714
"2017-12-24",263266.76,0.95,263168,251297,0.954285714285714
"2017-12-25",263266.76,0.95,263168,251297,0.954285714285714
"2017-12-26",265274.76,0.95,265176,251297,0.952857142857143
"2017-12-27",266296.76,0.94,266198,251297,0.95
"2017-12-28",267529.76,0.94,267431,251297,0.947142857142857
"2017-12-29",267900.76,0.94,267802,251297,0.945714285714286
"2017-12-30",267900.76,0.94,267769,251297,0.944285714285714
"2017-12-31",267900.76,0.94,267769,251297,0.942857142857143
"2018-01-01",267900.76,0.94,267769,251297,0.941428571428571
"2018-01-02",269198.76,0.93,269067,251297,0.938571428571429
"2018-01-03",270254.02,0.94,269945,252532,0.938571428571429
"2018-01-04",272649.02,0.92,272517,251431,0.935714285714286
