"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2017-08-25",9882,5.93,9992,59248,0
"2017-08-26",9882,0,0,0,0
"2017-08-27",9882,0,0,0,0
"2017-08-28",9882,0,0,0,0
"2017-08-29",10317,6.01,9862,59248,0
"2017-08-30",11523,10.68,11093,118496,0
"2017-08-31",11479,5.16,11479,59248,3.96857142857143
"2017-09-01",11060,5.58,10627,59248,3.91857142857143
"2017-09-02",11060,5.58,10627,59248,4.71571428571429
"2017-09-03",10432,5.93,9999,59248,5.56285714285714
"2017-09-04",10712,5.76,10279,59248,6.38571428571429
"2017-09-05",10022,6.18,9589,59248,6.41
"2017-09-06",10162,6.09,9729,59248,5.75428571428571
"2017-09-07",10387,5.95,9954,59248,5.86714285714286
"2017-09-08",9567,6.49,9134,59248,5.99714285714286
"2017-09-09",9567,6.49,9134,59248,6.12714285714286
"2017-09-10",10237,6.04,9804,59248,6.14285714285714
"2017-09-11",10877,5.67,10444,59248,6.13
"2017-09-12",11113,0,10610,0,5.24714285714286
"2017-09-13",11113,0,0,0,4.37714285714286
"2017-09-14",11113,0,0,0,3.52714285714286
"2017-09-15",11113,0,0,0,2.6
"2017-09-16",11113,0,0,0,1.67285714285714
"2017-09-17",11113,0,0,0,0.81
"2017-09-18",11113,0,0,0,0
"2017-09-19",11113,0,0,0,0
"2017-09-20",11113,0,0,0,0
"2017-09-21",11113,0,0,0,0
"2017-09-22",11113,0,0,0,0
"2017-09-23",11113,0,0,0,0
"2017-09-24",11113,0,0,0,0
"2017-09-25",11113,0,0,0,0
"2017-09-26",11113,0,0,0,0
"2017-09-27",11113,0,0,0,0
"2017-09-28",11113,0,0,0,0
"2017-09-29",11113,0,0,0,0
"2017-09-30",11113,0,0,0,0
"2017-10-01",11113,0,0,0,0
"2017-10-02",11113,0,0,0,0
"2017-10-03",11113,0,0,0,0
"2017-10-04",11113,0,0,0,0
"2017-10-05",11113,0,0,0,0
"2017-10-06",11113,0,0,0,0
"2017-10-07",11113,0,0,0,0
"2017-10-08",11113,0,0,0,0
"2017-10-09",11113,0,0,0,0
"2017-10-10",11113,0,0,0,0
"2017-10-11",11113,0,0,0,0
"2017-10-12",11113,0,0,0,0
"2017-10-13",11113,0,0,0,0
"2017-10-14",11113,0,0,0,0
"2017-10-15",11113,0,0,0,0
"2017-10-16",11113,0,0,0,0
"2017-10-17",11113,0,0,0,0
"2017-10-18",11113,0,0,0,0
"2017-10-19",11113,0,0,0,0
"2017-10-20",11113,0,0,0,0
"2017-10-21",11113,0,0,0,0
"2017-10-22",11113,0,0,0,0
"2017-10-23",11113,0,0,0,0
"2017-10-24",11113,0,0,0,0
"2017-10-25",11113,0,0,0,0
"2017-10-26",11113,0,0,0,0
"2017-10-27",11113,0,0,0,0
"2017-10-28",11113,0,0,0,0
"2017-10-29",11113,0,0,0,0
"2017-10-30",11113,0,0,0,0
"2017-10-31",11113,0,0,0,0
"2017-11-01",11113,0,0,0,0
"2017-11-02",11113,0,0,0,0
"2017-11-03",11113,0,0,0,0
"2017-11-04",11113,0,0,0,0
"2017-11-05",11113,0,0,0,0
"2017-11-06",11113,0,0,0,0
"2017-11-07",11113,0,0,0,0
"2017-11-08",11113,0,0,0,0
"2017-11-09",11113,0,0,0,0
"2017-11-10",11113,0,0,0,0
"2017-11-11",11113,0,0,0,0
"2017-11-12",11113,0,0,0,0
"2017-11-13",11113,0,0,0,0
"2017-11-14",11113,0,0,0,0
"2017-11-15",11113,0,0,0,0
"2017-11-16",11113,0,0,0,0
"2017-11-17",11113,0,0,0,0
"2017-11-18",11113,0,0,0,0
"2017-11-19",11113,0,0,0,0
"2017-11-20",11113,0,0,0,0
"2017-11-21",11113,0,0,0,0
"2017-11-22",11113,0,0,0,0
