"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2018-01-22",26422,4.32,24959,107888
"2018-01-23",25804,0,25941,0
"2018-01-24",25804,0,0,0
"2018-01-25",25804,0,0,0
"2018-01-26",25804,0,0,0
"2018-01-27",25804,0,0,0
"2018-01-28",25804,0,0,0
"2018-01-29",25804,0,0,0
"2018-01-30",25804,0,0,0
"2018-01-31",25804,0,0,0
"2018-02-01",25804,0,0,0
"2018-02-02",25804,0,0,0
"2018-02-03",25804,0,0,0
"2018-02-04",25804,0,0,0
"2018-02-05",25804,0,0,0
"2018-02-06",25804,0,0,0
"2018-02-07",25804,0,0,0
"2018-02-08",25804,0,0,0
"2018-02-09",25804,0,0,0
"2018-02-10",25804,0,0,0
"2018-02-11",25804,0,0,0
"2018-02-12",25804,0,0,0
"2018-02-13",25804,0,0,0
"2018-02-14",28506,4.19,25763,107888
"2018-02-15",27248,0,29165,0
"2018-02-16",27248,0,0,0
"2018-02-17",27248,0,0,0
"2018-02-18",27248,0,0,0
"2018-02-19",27248,0,0,0
"2018-02-20",27248,0,0,0
"2018-02-21",26222,3.97,27199,107888
"2018-02-22",26222,0,0,0
"2018-02-23",27574,4.13,26148,107888
"2018-02-24",27574,3.92,27508,107888
"2018-02-25",27754,3.9,27688,107888
"2018-02-26",31685,1.82,29674,53944
"2018-02-27",31481,0,31530,0
"2018-02-28",31481,0,0,0
"2018-03-01",31481,0,0,0
"2018-03-02",31481,0,0,0
"2018-03-03",31481,0,0,0
"2018-03-04",31481,0,0,0
"2018-03-05",33768,3.44,31407,107888
"2018-03-06",34095,1.58,34074,53944
"2018-03-07",34095,0,0,0
"2018-03-08",34095,0,0,0
"2018-03-09",36633,3.17,34017,107888
"2018-03-10",36633,1.48,36567,53944
"2018-03-11",37639,2.95,36563,107888
"2018-03-12",36524,0,36945,0
"2018-03-13",36524,0,0,0
"2018-03-14",36524,0,0,0
"2018-03-15",36524,0,0,0
"2018-03-16",36524,0,0,0
"2018-03-17",36524,0,0,0
"2018-03-18",36524,0,0,0
"2018-03-19",36524,0,0,0
"2018-03-20",36524,0,0,0
"2018-03-21",36015,2.96,36442,107888
"2018-03-22",36015,0,0,0
"2018-03-23",36015,0,0,0
"2018-03-24",36015,0,0,0
"2018-03-25",36015,0,0,0
"2018-03-26",37560,3.04,35487,107888
"2018-03-27",36359,0,37123,0
"2018-03-28",36359,0,0,0
"2018-03-29",35680,3,35983,107888
"2018-03-30",35680,0,0,0
"2018-03-31",35680,0,0,0
"2018-04-01",35680,0,0,0
"2018-04-02",35680,0,0,0
"2018-04-03",35680,0,0,0
"2018-04-04",35680,0,0,0
"2018-04-05",35680,0,0,0
"2018-04-06",35680,0,0,0
"2018-04-07",35680,0,0,0
"2018-04-08",35680,0,0,0
"2018-04-09",35680,0,0,0
"2018-04-10",35680,0,0,0
"2018-04-11",35680,0,0,0
"2018-04-12",35104,3.03,35565,107888
"2018-04-13",35104,0,0,0
"2018-04-14",35104,0,0,0
"2018-04-15",35104,0,0,0
"2018-04-16",35017,3.08,34989,107888
"2018-04-17",34646,3.09,34902,107888
"2018-04-18",34646,0,0,0
"2018-04-19",34646,0,0,0
"2018-04-20",34646,0,0,0
"2018-04-21",34646,0,0,0
"2018-04-22",34646,0,0,0
"2018-04-23",34646,0,0,0
"2018-04-24",34646,0,0,0
"2018-04-25",34646,0,0,0
"2018-04-26",35421,3.13,34506,107888
"2018-04-27",35657,0,35551,0
"2018-04-28",35657,0,0,0
"2018-04-29",35657,0,0,0
"2018-04-30",35657,0,0,0
"2018-05-01",35657,0,0,0
"2018-05-02",35507,3.04,35509,107888
"2018-05-03",35507,0,0,0
"2018-05-04",35204,3.05,35359,107888
"2018-05-05",35204,0,0,0
"2018-05-06",35204,0,0,0
"2018-05-07",35204,0,0,0
"2018-05-08",35204,0,0,0
"2018-05-09",34848,3.08,35056,107888
"2018-05-10",34848,0,0,0
"2018-05-11",34848,0,0,0
"2018-05-12",34848,0,0,0
"2018-05-13",34848,0,0,0
"2018-05-14",34408,3.11,34700,107888
"2018-05-15",34408,0,0,0
"2018-05-16",34244,3.15,34260,107888
"2018-05-17",33722,3.18,33960,107888
"2018-05-18",33722,0,0,0
"2018-05-19",33722,0,0,0
"2018-05-20",33722,0,0,0
"2018-05-21",34233,4.82,33578,161832
"2018-05-22",34593,0,34461,0
"2018-05-23",34593,0,0,0
"2018-05-24",34593,0,0,0
"2018-05-25",34593,0,0,0
"2018-05-26",34593,0,0,0
"2018-05-27",34593,0,0,0
"2018-05-28",34593,0,0,0
"2018-05-29",34593,0,0,0
"2018-05-30",34194,4.7,34404,161832
"2018-05-31",34194,0,0,0
"2018-06-01",33570,4.76,34005,161832
"2018-06-02",33570,0,0,0
"2018-06-03",33570,0,0,0
"2018-06-04",33570,0,0,0
"2018-06-05",33570,0,0,0
"2018-06-06",36828,4.85,33393,161832
"2018-06-07",38310,2.86,37720,107888
"2018-06-08",37721,0,37731,0
"2018-06-09",37721,0,0,0
"2018-06-10",37721,0,0,0
"2018-06-11",37721,0,0,0
"2018-06-12",37721,0,0,0
"2018-06-13",37721,0,0,0
"2018-06-14",37721,0,0,0
"2018-06-15",37721,0,0,0
"2018-06-16",37721,0,0,0
"2018-06-17",37721,0,0,0
"2018-06-18",37721,0,0,0
"2018-06-19",37721,0,0,0
"2018-06-20",37721,0,0,0
"2018-06-21",37721,0,0,0
"2018-06-22",37216,4.32,37499,161832
"2018-06-23",37216,0,0,0
"2018-06-24",37216,0,0,0
"2018-06-25",37216,0,0,0
"2018-06-26",37216,0,0,0
"2018-06-27",36768,4.37,36994,161832
"2018-06-28",36768,0,0,0
"2018-06-29",36030,4.43,36546,161832
"2018-06-30",36030,0,0,0
"2018-07-01",36030,0,0,0
"2018-07-02",36030,0,0,0
"2018-07-03",36030,0,0,0
"2018-07-04",36030,0,0,0
"2018-07-05",35594,4.52,35808,161832
"2018-07-06",36797,4.57,35384,161832
"2018-07-07",36797,4.42,36599,161832
"2018-07-08",37982,4.28,37784,161832
"2018-07-09",42093,2.66,40495,107888
"2018-07-10",40023,2.71,39825,107888
"2018-07-11",41105,0,40767,0
"2018-07-12",41105,0,0,0
"2018-07-13",41105,0,0,0
"2018-07-14",41105,0,0,0
"2018-07-15",41105,0,0,0
"2018-07-16",41105,0,0,0
"2018-07-17",40938,3.96,40883,161832
"2018-07-18",41541,3.97,40728,161832
"2018-07-19",39864,0,40056,0
"2018-07-20",39864,0,0,0
"2018-07-21",39864,0,0,0
"2018-07-22",39864,0,0,0
"2018-07-23",39864,0,0,0
"2018-07-24",40377,4.08,39621,161832
"2018-07-25",39705,0,39519,0
"2018-07-26",39705,0,0,0
"2018-07-27",39705,0,0,0
"2018-07-28",39705,0,0,0
"2018-07-29",39705,0,0,0
"2018-07-30",39705,0,0,0
"2018-07-31",39705,0,0,0
"2018-08-01",39705,0,0,0
"2018-08-02",39705,0,0,0
"2018-08-03",40128,4.1,39462,161832
"2018-08-04",40128,4.06,39897,161832
"2018-08-05",40083,4.06,39852,161832
"2018-08-06",39126,0,39630,0
"2018-08-07",39126,0,0,0
"2018-08-08",39126,0,0,0
"2018-08-09",39126,0,0,0
"2018-08-10",39126,0,0,0
"2018-08-11",39126,0,0,0
"2018-08-12",39126,0,0,0
"2018-08-13",39126,0,0,0
"2018-08-14",39126,0,0,0
"2018-08-15",39126,0,0,0
"2018-08-16",41938,4.16,38883,161832
"2018-08-17",40576,4.03,40174,161832
"2018-08-18",40576,4.01,40345,161832
"2018-08-19",40381,4.03,40150,161832
"2018-08-20",40954,0,41155,0
"2018-08-21",40954,0,0,0
"2018-08-22",40954,0,0,0
"2018-08-23",40954,0,0,0
"2018-08-24",40954,0,0,0
"2018-08-25",40954,0,0,0
"2018-08-26",40954,0,0,0
"2018-08-27",40954,0,0,0
"2018-08-28",40954,0,0,0
"2018-08-29",40954,0,0,0
"2018-08-30",40954,0,0,0
"2018-08-31",40954,0,0,0
"2018-09-01",40954,0,0,0
"2018-09-02",40954,0,0,0
"2018-09-03",40954,0,0,0
"2018-09-04",40954,0,0,0
"2018-09-05",40954,0,0,0
"2018-09-06",40954,0,0,0
"2018-09-07",40954,0,0,0
"2018-09-08",40954,0,0,0
"2018-09-09",40954,0,0,0
"2018-09-10",40954,0,0,0
"2018-09-11",40954,0,0,0
"2018-09-12",39985,3.98,40666,161832
"2018-09-13",39466,4.08,39697,161832
"2018-09-14",39466,0,0,0
"2018-09-15",39466,0,0,0
"2018-09-16",39466,0,0,0
"2018-09-17",39466,0,0,0
"2018-09-18",40474,4.13,39190,161832
"2018-09-19",43264,3.77,42967,161832
