"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2017-10-25",49996.55,0.68,49656,33747
"2017-10-26",49973.85,0.84,49689,41925
"2017-10-27",50507.7,1.32,50113,66102
"2017-10-28",50507.7,1.24,50176,62162
"2017-10-29",50507.7,1.2,50176,60302
"2017-10-30",50482.45,1.45,50019,72327
"2017-10-31",50832.5,1.46,50150,73447
"2017-11-01",50637.35,3.03,50325,152394
"2017-11-02",50888.55,3.17,50543,160451
"2017-11-03",51146.6,2.91,50624,147261
"2017-11-04",51146.6,2.75,50815,139969
"2017-11-05",51146.6,2.47,50815,125611
"2017-11-06",51296.9,2.98,50815,151217
"2017-11-07",51150.55,2.87,50893,146027
"2017-11-08",51429.85,3.24,50842,164649
"2017-11-09",50660.25,6.14,51098,313817
"2017-11-10",50947.8,3.6,50328,181196
"2017-11-11",50947.8,2.97,50616,150103
"2017-11-12",50947.8,2.74,50616,138770
"2017-11-13",50942.35,3.37,50616,170543
"2017-11-14",49848.9,3.98,49690,197754
"2017-11-15",48780.9,3.23,48449,156304
"2017-11-16",49940.9,3.15,49609,156304
"2017-11-17",49656.9,3.17,49325,156304
"2017-11-18",49656.9,2.98,49325,146930
"2017-11-19",49656.9,2.37,49325,117026
"2017-11-20",49999.9,2.36,49668,117026
"2017-11-21",51597.9,2.28,51266,117026
"2017-11-22",51711.9,2.28,51380,117026
"2017-11-23",51994.9,2.27,51663,117026
"2017-11-24",51658.9,2.29,50995,117026
"2017-11-25",51658.9,2.24,50995,114219
"2017-11-26",51658.9,2.24,50995,114219
"2017-11-27",51123.9,2.26,50460,114219
"2017-11-28",51808.9,2.23,51145,114219
"2017-11-29",50602.9,2.29,49939,114219
"2017-11-30",50485.9,2.29,49822,114219
"2017-12-01",48928.9,2.37,48265,114219
"2017-12-02",48928.9,2.37,48265,114219
"2017-12-03",48928.9,2.37,48265,114219
"2017-12-04",50431.9,2.3,49768,114219
"2017-12-05",48993.44,2.52,48329,121838
"2017-12-06",48365.44,2.55,47701,121838
"2017-12-07",50241.44,2.46,49577,121838
"2017-12-08",52104.44,2.37,51440,121838
"2017-12-09",52104.44,2.37,51440,121838
"2017-12-10",52104.44,2.37,51440,121838
"2017-12-11",53185.44,2.32,52521,121838
"2017-12-12",53988.44,2.28,53324,121838
"2017-12-13",54326.44,2.27,53662,121838
"2017-12-14",54089.44,2.28,53425,121838
"2017-12-15",54089.44,2.28,53425,121838
"2017-12-16",54086.94,2.64,53425,140903
"2017-12-17",54086.94,1.97,53425,105051
"2017-12-18",56994.5,1.88,53425,100432
"2017-12-19",56733.82,0.6,56070,33402
"2017-12-20",56733.82,0.6,56070,33402
"2017-12-21",56733.82,0.6,56070,33402
"2017-12-22",56733.82,0.6,56070,33402
"2017-12-23",56733.82,0.6,56070,33402
"2017-12-24",56733.82,0.6,56070,33402
"2017-12-25",56733.82,0.6,56070,33402
"2017-12-26",56838.82,0.6,55843,33402
"2017-12-27",56838.82,0.6,55843,33402
"2017-12-28",56838.82,0.6,55843,33402
"2017-12-29",56838.82,0.6,55843,33402
"2017-12-30",56838.82,0.6,55843,33402
"2017-12-31",56838.82,0.6,55843,33402
"2018-01-01",56838.82,0.6,55843,33402
"2018-01-02",56838.82,0.6,55843,33402
"2018-01-03",58069.82,0.59,57074,33402
"2018-01-04",58069.82,0.59,57074,33402
"2018-01-05",58069.82,0.59,57074,33402
"2018-01-06",58069.82,0.59,57074,33402
"2018-01-07",58069.82,0.59,57074,33402
"2018-01-08",58157.82,0.58,57162,33402
"2018-01-09",58157.82,0.58,57162,33402
"2018-01-10",58157.82,0.58,57162,33402
"2018-01-11",58157.82,0.58,57162,33402
"2018-01-12",58535.82,0.58,57540,33402
"2018-01-13",58535.82,0.58,57540,33402
"2018-01-14",58535.82,0.58,57540,33402
"2018-01-15",58535.82,0.58,57540,33402
"2018-01-16",58007.82,0.59,57012,33402
"2018-01-17",58007.82,0.59,57012,33402
"2018-01-18",58007.82,0.59,57012,33402
"2018-01-19",58007.82,0.59,57012,33402
"2018-01-20",57682.82,0.59,56687,33402
"2018-01-21",57682.82,0.59,56687,33402
"2018-01-22",57682.82,0.59,56687,33402
"2018-01-23",57682.82,0.59,56687,33402
"2018-01-24",57199.82,0.6,55872,33402
"2018-01-25",57199.82,0.6,55872,33402
"2018-01-26",57199.82,0.6,55872,33402
"2018-01-27",57199.82,0.6,55872,33402
"2018-01-28",57199.82,0.6,55872,33402
"2018-01-29",56961.82,0.6,55634,33402
"2018-01-30",56961.82,0.6,55634,33402
"2018-01-31",52320.82,0.66,50993,33402
"2018-02-01",52320.82,0.66,50993,33402
"2018-02-02",52320.82,0.66,50993,33402
"2018-02-03",52320.82,0.66,50993,33402
"2018-02-04",52320.82,0.66,50993,33402
"2018-02-05",52320.82,0.66,50993,33402
"2018-02-06",52320.82,0.66,50993,33402
"2018-02-07",52320.82,0.66,50993,33402
"2018-02-08",52320.82,0.66,50993,33402
"2018-02-09",52320.82,0.66,50993,33402
"2018-02-10",52320.82,0.66,50993,33402
"2018-02-11",52320.82,0.66,50993,33402
"2018-02-12",52320.82,0.66,50993,33402
"2018-02-13",52320.82,0.66,50993,33402
"2018-02-14",52320.82,0.66,50993,33402
"2018-02-15",44743.82,0.77,43416,33402
"2018-02-16",44743.82,0.77,43416,33402
"2018-02-17",44743.82,0.77,43416,33402
"2018-02-18",44743.82,0.77,43416,33402
"2018-02-19",44743.82,0.77,43416,33402
"2018-02-20",44207.82,0.78,42880,33402
"2018-02-21",44207.82,0.78,42880,33402
"2018-02-22",44207.82,0.78,42880,33402
"2018-02-23",44207.82,0.78,42880,33402
"2018-02-24",45737.82,0.76,44078,33402
"2018-02-25",45737.82,0.76,44078,33402
"2018-02-26",45737.82,0.76,44078,33402
"2018-02-27",45737.82,0.76,44078,33402
"2018-02-28",42273.82,0.82,40614,33402
"2018-03-01",42273.82,0.82,40614,33402
"2018-03-02",42273.82,0.82,40614,33402
"2018-03-03",42273.82,0.82,40614,33402
"2018-03-04",42273.82,0.82,40614,33402
"2018-03-05",42273.82,0.82,40614,33402
"2018-03-06",41851.82,0.83,40192,33402
"2018-03-07",41851.82,0.83,40192,33402
"2018-03-08",41851.82,0.83,40192,33402
"2018-03-09",41851.82,0.83,40192,33402
"2018-03-10",47609.82,0.73,45950,33402
"2018-03-11",47609.82,0.73,45950,33402
"2018-03-12",47609.82,0.73,45950,33402
"2018-03-13",47609.82,0.73,45950,33402
"2018-03-14",47609.82,0.73,45950,33402
