"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2020-03-12",9714,0.01,9842,69
"2020-03-13",10003,0.77,9846,7573
"2020-03-14",10003,0.77,9846,7573
"2020-03-15",10097,0.76,9945,7573
"2020-03-16",9883,2.68,9449,25351
"2020-03-17",9710,2.55,9807,24979
"2020-03-18",9710,7.39,4360,32242
"2020-03-19",8378,3.93,8058,31646
"2020-03-20",9363,3.44,9205,31666
"2020-03-21",9363,3.44,9205,31666
"2020-03-22",9062,3.62,8738,31666
"2020-03-23",8178,3.96,8008,31692
"2020-03-24",10515,3.11,10224,31798
"2020-03-25",10969,0,10858,0
"2020-03-26",11036,0.36,10811,3923
"2020-03-27",11030,0.01,10890,67
"2020-03-28",11030,0.01,10873,67
"2020-03-29",10816,0.01,10659,67
"2020-03-30",10879,0.01,10637,134
"2020-03-31",10863,0.01,10607,134
"2020-04-01",10667,0.02,10082,224
"2020-04-02",11108,0.02,10863,223
"2020-04-03",11307,1.58,11150,17659
"2020-04-04",11307,1.58,11150,17659
"2020-04-05",11578,1.55,11389,17659
"2020-04-06",11434,1.56,11276,17611
"2020-04-07",11450,1.57,11290,17751
"2020-04-08",11039,1.64,10859,17824
"2020-04-09",11133,1.64,10958,17939
"2020-04-10",11031,1.65,10875,17950
"2020-04-11",11031,1.65,10875,17950
"2020-04-12",11063,1.67,10750,17950
"2020-04-13",10634,1.74,10334,18001
"2020-04-14",10605,2.97,10210,30288
"2020-04-15",10805,2.87,10458,30030
"2020-04-16",10512,2.95,10143,29888
"2020-04-17",10418,2.97,10103,29993
"2020-04-18",10418,2.97,10103,29993
"2020-04-19",10632,2.92,10257,29993
"2020-04-20",10994,2.8,10666,29835
"2020-04-21",12296,0.21,11974,2476
"2020-04-22",12282,0.21,11964,2471
"2020-04-23",12289,0.21,11972,2459
"2020-04-24",12291,0.21,11974,2468
"2020-04-25",12291,0.21,11974,2468
"2020-04-26",12311,0.21,11993,2468
"2020-04-27",12314,0.39,12001,4654
"2020-04-28",11721,0.95,11455,10904
"2020-04-29",11591,0.96,11460,11013
"2020-04-30",12568,0.2,12257,2486
"2020-05-01",12551,0.2,12234,2498
"2020-05-02",12551,0.2,12234,2498
"2020-05-03",12546,0.2,12235,2498
"2020-05-04",12533,0.2,12217,2488
"2020-05-05",12543,0.2,12229,2469
"2020-05-06",12534,0.2,12218,2462
"2020-05-07",12553,0.61,12218,7401
"2020-05-08",12492,0.61,12175,7422
"2020-05-09",12492,0.61,12175,7422
"2020-05-10",12509,0.61,12188,7422
"2020-05-11",12475,0.62,12005,7401
"2020-05-12",12483,0.62,12008,7429
"2020-05-13",12476,0.62,12005,7407
"2020-05-14",12475,0.62,12002,7400
"2020-05-15",12457,0.62,11983,7412
"2020-05-16",12457,0.62,11983,7412
"2020-05-17",12470,0.62,11996,7412
"2020-05-18",12790,0,12322,0
"2020-05-19",12790,0,0,0
"2020-05-20",12828,0.13,12315,1583
"2020-05-21",12876,0.13,12390,1575
"2020-05-22",12830,0.13,12407,1568
"2020-05-23",12830,0.13,12354,1568
"2020-05-24",12825,0.13,12355,1568
"2020-05-25",12735,0.38,12339,4711
"2020-05-26",12490,0.8,12029,9577
"2020-05-27",13060,0.38,12545,4766
"2020-05-28",13049,0.38,12576,4778
"2020-05-29",13150,0.59,12717,7494
"2020-05-30",13150,0.59,12656,7494
"2020-05-31",13271,0.59,12771,7494
"2020-06-01",13389,0.38,12856,4894
"2020-06-02",12857,0.4,12349,4965
"2020-06-03",12958,0.4,12465,4982
"2020-06-04",12796,0.81,12400,9997
"2020-06-05",12990,0.8,12486,10033
"2020-06-06",12990,0.8,12486,10033
"2020-06-07",13197,0.79,12672,10033
"2020-06-08",12997,0.81,12473,10110
"2020-06-09",13479,0.41,13017,5367
"2020-06-10",13627,0.42,12918,5368
"2020-06-11",13693,0,12975,0
"2020-06-12",13693,0,0,0
"2020-06-13",13693,0,0,0
"2020-06-14",13693,0,0,0
"2020-06-15",13734,0.36,13027,4723
"2020-06-16",14040,2.82,13093,36915
"2020-06-17",14053,0.4,13415,5368
"2020-06-18",14121,0.39,13459,5284
"2020-06-19",14130,0.37,13476,4944
"2020-06-20",14130,0.37,13475,4944
