"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2017-07-20",100107.05,0.37,100071,36792
"2017-07-21",100321.05,0.37,100321,36792
"2017-07-22",100321.05,0.37,100321,36792
"2017-07-23",100321.05,0.37,100321,36792
"2017-07-24",100795.55,0.32,100461,32145
"2017-07-25",100705.05,0.46,100702,46086
"2017-07-26",101085.05,0.36,100952,36792
"2017-07-27",100626.55,0.42,99747,41439
"2017-07-28",100301.05,0.46,99769,46086
"2017-07-29",100301.05,0.46,100049,46086
"2017-07-30",100301.05,0.46,100049,46086
"2017-07-31",100564.6,0.59,100039,58693
"2017-08-01",101058.15,0.71,100866,71760
"2017-08-02",100731.7,0.94,100523,94611
"2017-08-03",99975.25,1.08,99723,107678
"2017-08-04",100200.25,1.08,99948,107678
"2017-08-05",100200.25,1.08,99948,107678
"2017-08-06",100200.25,1.08,99948,107678
"2017-08-07",100842.25,1.07,100590,107678
"2017-08-08",99222.25,1.09,98970,107678
"2017-08-09",97676.25,1.01,97424,98384
"2017-08-10",91450.25,0.99,91198,90424
"2017-08-11",89495.35,0.89,91177,81130
"2017-08-12",89485.35,0.71,89233,63800
"2017-08-13",89485.35,0.71,89233,63800
"2017-08-14",94039.45,1.11,89211,98638
"2017-08-15",94311.45,1.05,94059,98638
"2017-08-16",94533.45,0.85,94317,80050
"2017-08-17",87778.45,0.99,90145,89344
"2017-08-18",88494.55,0.71,87503,61846
"2017-08-19",88484.55,0.31,88233,27418
"2017-08-20",88484.55,0.31,88233,27418
"2017-08-21",89287.6,0.61,89073,54666
"2017-08-22",91408.15,0.8,90199,71820
"2017-08-23",91013.65,0.69,90578,62526
"2017-08-24",89953.85,0.84,89743,75250
"2017-08-25",90594.35,0.99,90315,89191
"2017-08-26",90594.35,0.99,90342,89191
"2017-08-27",90594.35,0.99,90090,89191
"2017-08-28",90960.85,1.04,90090,93838
"2017-08-29",90075.95,1.05,89217,93786
"2017-08-30",90235.5,1.42,89597,127029
"2017-08-31",91927.5,1.24,90525,112691
"2017-09-01",91921.05,1.39,91417,127146
"2017-09-02",91906.05,1.39,91402,127146
"2017-09-03",91906.05,1.39,91402,127146
"2017-09-04",91906.05,1.39,91402,127146
"2017-09-05",88199.05,1.45,87695,127146
"2017-09-06",89803.05,1.42,89299,127146
"2017-09-07",90021.6,1.57,89878,141536
"2017-09-08",88183.15,1.45,87679,126816
"2017-09-09",88173.15,1.45,87669,126816
