"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-11-09",1e+05,0,0,0
"2019-11-10",1e+05,0,0,0
"2019-11-11",1e+05,0,0,0
"2019-11-12",99558,0.81,99876,81000
"2019-11-13",100162,2.44,99530,243000
"2019-11-14",99656,0.81,99614,81000
"2019-11-15",99858,0.81,99406,81000
"2019-11-16",99858,0.81,99746,81000
"2019-11-17",99640,0.81,99538,81000
"2019-11-18",99392,0.82,99120,81000
"2019-11-19",100020,0.82,99288,81000
"2019-11-20",100652,0.81,99900,81000
"2019-11-21",100864,0.81,100532,81000
"2019-11-22",100864,0,0,0
"2019-11-23",100864,0,0,0
"2019-11-24",100864,0,0,0
"2019-11-25",100462,0.81,100180,81000
"2019-11-26",100828,0,100416,0
"2019-11-27",100730,0.8,100708,81000
"2019-11-28",100576,0.81,100614,81000
"2019-11-29",100764,0.81,100022,81000
"2019-11-30",100764,0,0,0
"2019-12-01",100764,0,0,0
"2019-12-02",100278,0.81,100466,81000
"2019-12-03",99896,0.81,100154,81000
"2019-12-04",100472,0,99810,0
"2019-12-05",98694,0.82,99312,81000
"2019-12-06",100376,2.45,99094,243000
"2019-12-07",100376,0,0,0
"2019-12-08",100376,0,0,0
"2019-12-09",100004,0.81,100252,81000
"2019-12-10",99332,0.81,99468,81000
"2019-12-11",99270,0.82,99096,81000
"2019-12-12",99986,0,99072,0
"2019-12-13",99408,0.81,99754,81000
"2019-12-14",99408,0,0,0
"2019-12-15",99408,0,0,0
"2019-12-16",99254,0.82,99180,81000
"2019-12-17",99980,0,99566,0
"2019-12-18",99706,0.81,99752,81000
"2019-12-19",99474,0.81,99470,81000
"2019-12-20",99730,0.82,99246,81000
"2019-12-21",99730,0.81,99506,81000
"2019-12-22",99800,0.81,99576,81000
"2019-12-23",99742,0.81,99558,81000
"2019-12-24",100312,0.81,100088,81000
"2019-12-25",100308,0,100088,0
"2019-12-26",100658,0,0,0
"2019-12-27",100658,0,0,0
"2019-12-28",100658,0,0,0
"2019-12-29",100658,0,0,0
"2019-12-30",100292,0.81,100418,81000
"2019-12-31",99316,0.81,100052,81000
"2020-01-01",99316,0,0,0
"2020-01-02",102092,4.1,98668,405000
"2020-01-03",102396,0.8,101852,81000
"2020-01-04",102396,0,0,0
"2020-01-05",103038,0.79,102164,81000
"2020-01-06",103220,0.79,102806,81000
"2020-01-07",103840,0.79,102976,81000
"2020-01-08",105058,0.78,104134,81000
"2020-01-09",105446,0.77,104710,81000
"2020-01-10",105314,0.77,105138,81000
"2020-01-11",105314,0,0,0
"2020-01-12",105314,0,0,0
"2020-01-13",105956,0.77,104970,81000
"2020-01-14",105668,0.77,105612,81000
"2020-01-15",104862,0.77,105316,81000
"2020-01-16",104834,0.77,104518,81000
"2020-01-17",104834,0,0,0
"2020-01-18",104834,0,0,0
"2020-01-19",104834,0,0,0
"2020-01-20",104996,0.78,104490,81000
"2020-01-21",104458,0.77,104652,81000
"2020-01-22",105090,0.78,104114,81000
"2020-01-23",104848,0.78,104292,81000
"2020-01-24",105006,0.78,104020,81000
"2020-01-25",105006,0,0,0
"2020-01-26",105006,0,0,0
"2020-01-27",104970,0.77,104654,81000
"2020-01-28",104254,0.78,104308,81000
"2020-01-29",106106,2.34,103890,243000
"2020-01-30",107046,0.76,106470,81000
"2020-01-31",107100,0.76,106694,81000
"2020-02-01",107100,0,0,0
"2020-02-02",107100,0,0,0
"2020-02-03",107240,0.76,106764,81000
"2020-02-04",108160,0.76,107164,81000
"2020-02-05",108370,0.75,107804,81000
"2020-02-06",108046,0.75,107500,81000
"2020-02-07",107446,0.75,107540,81000
"2020-02-08",107446,0,0,0
"2020-02-09",106624,2.29,106176,243000
"2020-02-10",100966,5.42,104578,567000
"2020-02-11",93998,7.26,100390,729000
"2020-02-12",99054,6.93,93486,648000
"2020-02-13",98492,0.83,98044,81000
"2020-02-14",99338,0,98230,0
"2020-02-15",99338,0,0,0
"2020-02-16",99338,0,0,0
"2020-02-17",99338,0,0,0
"2020-02-18",99802,0.82,98874,81000
"2020-02-19",99802,0,0,0
"2020-02-20",99698,0.82,99350,81000
"2020-02-21",100720,0.81,99972,81000
"2020-02-22",100720,0.81,100272,81000
"2020-02-23",99522,0.82,99264,81000
"2020-02-24",100224,0.81,99886,81000
"2020-02-25",100562,0.81,99474,81000
"2020-02-26",100568,0.81,100090,81000
"2020-02-27",100336,2.24,100055,223776
"2020-02-28",101014,0.81,99876,81000
"2020-02-29",101014,0.81,100566,81000
"2020-03-01",99746,0.82,98998,81000
"2020-03-02",99886,0.82,98808,81000
"2020-03-03",92660,4.39,92212,405000
"2020-03-04",89192,6.48,87474,567000
"2020-03-05",88522,0.93,87434,81000
"2020-03-06",88720,0.92,88062,81000
"2020-03-07",88720,0.92,88272,81000
"2020-03-08",97416,0,88268,0
"2020-03-09",98499,0.84,96812,81000
"2020-03-10",99721,0.82,98421,81000
"2020-03-11",100975,0.82,99145,81000
"2020-03-12",100003,0.81,100403,81000
"2020-03-13",99619,0.82,98479,81000
"2020-03-14",99619,0.82,99059,81000
"2020-03-15",99649,0.82,98539,81000
"2020-03-16",98591,0.82,99081,81000
"2020-03-17",99787,1.65,98087,162000
"2020-03-18",99321,1.63,99171,162000
"2020-03-19",99321,0,0,0
"2020-03-20",99321,0,0,0
"2020-03-21",99321,0,0,0
"2020-03-22",99321,0,0,0
"2020-03-23",99321,0,0,0
"2020-03-24",99321,0,0,0
"2020-03-25",99321,0,0,0
"2020-03-26",99321,0,0,0
"2020-03-27",99321,0,0,0
"2020-03-28",99321,0,0,0
"2020-03-29",99321,0,0,0
"2020-03-30",99321,0,0,0
"2020-03-31",99321,0,0,0
"2020-04-01",99321,0,0,0
"2020-04-02",99321,0,0,0
"2020-04-03",99321,0,0,0
"2020-04-04",99321,0,0,0
"2020-04-05",99321,0,0,0
"2020-04-06",99321,0,0,0
"2020-04-07",99321,0,0,0
"2020-04-08",99321,0,0,0
"2020-04-09",99321,0,0,0
"2020-04-10",99321,0,0,0
"2020-04-11",99321,0,0,0
"2020-04-12",99321,0,0,0
"2020-04-13",99321,0,0,0
"2020-04-14",99321,0,0,0
"2020-04-15",99321,0,0,0
"2020-04-16",99313,0.24,98641,24000
"2020-04-17",98106,0.37,97584,36000
"2020-04-18",98106,0,0,0
"2020-04-19",99374,0.49,97402,48000
"2020-04-20",98738,0.12,98678,12000
"2020-04-21",100269,0.12,98022,12000
"2020-04-22",100907,0.12,99910,12000
"2020-04-23",101183,0.36,100199,36000
"2020-04-24",99018,0.24,99471,24000
"2020-04-25",99018,0,0,0
"2020-04-26",99531,0.37,98334,36000
"2020-04-27",100036,0.12,99326,12000
"2020-04-28",100036,0,0,0
"2020-04-29",100036,0,0,0
"2020-04-30",100036,0,0,0
"2020-05-01",100036,0,0,0
"2020-05-02",100036,0,0,0
"2020-05-03",100036,0,0,0
"2020-05-04",100036,0,0,0
"2020-05-05",100036,0,0,0
"2020-05-06",100036,0,0,0
"2020-05-07",100645,0.12,99348,12000
"2020-05-08",100645,0,0,0
"2020-05-09",100645,0,0,0
"2020-05-10",100645,0,0,0
"2020-05-11",100645,0,0,0
"2020-05-12",100645,0,0,0
"2020-05-13",100645,0,0,0
"2020-05-14",100645,0,0,0
"2020-05-15",100645,0,0,0
"2020-05-16",100645,0,0,0
"2020-05-17",100645,0,0,0
"2020-05-18",100645,0,0,0
"2020-05-19",100645,0,0,0
"2020-05-20",100645,0,0,0
"2020-05-21",100645,0,0,0
"2020-05-22",100645,0,0,0
"2020-05-23",100645,0,0,0
"2020-05-24",100645,0,0,0
"2020-05-25",100645,0,0,0
"2020-05-26",100645,0,0,0
"2020-05-27",100645,0,0,0
"2020-05-28",100645,0,0,0
"2020-05-29",100645,0,0,0
"2020-05-30",100645,0,0,0
"2020-05-31",100645,0,0,0
"2020-06-01",100645,0,0,0
"2020-06-02",100645,0,0,0
"2020-06-03",100645,0,0,0
