"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-06-04",37580.48,2.34,37337,87280
"2019-06-05",37358.38,2.3,37421,85996
"2019-06-06",37710.79,2.1,37195,78138
"2019-06-07",39086.79,1.67,38929,64930
"2019-06-08",39086.79,1.67,38929,64930
"2019-06-09",39086.79,1.67,38929,64930
"2019-06-10",38646.79,1.69,38489,64930
"2019-06-11",38182.79,1.71,38025,64930
"2019-06-12",38808.79,1.68,38651,64930
"2019-06-13",39266.79,1.66,39109,64930
"2019-06-14",39431.79,1.65,39274,64930
"2019-06-15",39431.79,1.65,39274,64930
"2019-06-16",39431.79,1.65,39274,64930
"2019-06-17",40679.79,1.6,40522,64930
"2019-06-18",40450.79,1.61,40293,64930
"2019-06-19",40558.4,1.67,40257,67102
"2019-06-20",42052.4,1.6,41894,67102
"2019-06-21",42192.71,1.79,41900,75005
"2019-06-22",42192.71,1.78,42035,75005
"2019-06-23",42192.71,1.78,42035,75005
"2019-06-24",43449.71,1.73,43292,75005
"2019-06-25",43611.71,1.73,43454,75005
"2019-06-26",44846.71,1.68,44689,75005
"2019-06-27",42879.71,1.76,42722,75005
"2019-06-28",44024.13,1.73,43725,75475
"2019-06-29",44024.13,1.72,43866,75475
"2019-06-30",44024.13,1.72,43866,75475
"2019-07-01",42877.25,1.81,42719,77500
"2019-07-02",44426.21,1.68,42968,72091
"2019-07-03",45496.21,1.59,45338,72091
"2019-07-04",45496.21,1.59,45338,72091
"2019-07-05",45374.09,1.69,44963,75995
"2019-07-06",45374.09,1.69,45058,75995
"2019-07-07",45374.09,1.69,45058,75995
"2019-07-08",45494.09,1.68,45178,75995
"2019-07-09",46230.09,1.66,45914,75995
"2019-07-10",46092.18,1.8,45776,82540
"2019-07-11",45764.36,1.7,45174,76644
"2019-07-12",46090.35,1.68,45774,76698
"2019-07-13",46090.35,1.68,45774,76698
"2019-07-14",46090.35,1.68,45774,76698
"2019-07-15",46046.06,1.66,45330,75179
"2019-07-16",44193.06,1.71,43877,75189
"2019-07-17",44024.5,1.73,43709,75704
"2019-07-18",44694.98,1.73,43429,75181
"2019-07-19",44099.98,1.72,43784,75181
"2019-07-20",43833.98,1.73,43518,75181
