"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2018-08-01",50426,14.01,49835,698336
"2018-08-02",50210,9.43,50089,472256
"2018-08-03",49260,9.61,49139,472256
"2018-08-04",49260,9.61,49139,472256
"2018-08-05",48530,9.76,48409,472256
"2018-08-06",48960,9.67,48839,472256
"2018-08-07",47250,10.02,47129,472256
"2018-08-08",48560,9.75,48439,472256
"2018-08-09",48970,9.67,48849,472256
"2018-08-10",53708,8.95,53587,479776
"2018-08-11",53708,8.95,53587,479776
"2018-08-12",55958,8.59,55837,479776
"2018-08-13",60984,9.81,59253,581392
"2018-08-14",60004,9.71,59883,581392
"2018-08-15",66869,8.71,66748,581392
"2018-08-16",64423,13.86,65402,906376
"2018-08-17",73325,9,73009,656768
"2018-08-18",73325,8.97,73204,656768
"2018-08-19",68170,9.65,68049,656768
"2018-08-20",68409,12,67898,814752
"2018-08-21",68373,12.41,65657,814752
"2018-08-22",70858,11.52,70737,814752
"2018-08-23",66831,12.85,65985,847648
"2018-08-24",62070,12.36,61949,765664
"2018-08-25",62070,12.36,61949,765664
"2018-08-26",61590,12.46,61469,765664
"2018-08-27",58102,13.86,59229,821056
"2018-08-28",60294,10.1,59111,597216
"2018-08-29",69974,9.94,64903,645216
"2018-08-30",72708,10.92,65837,718656
"2018-08-31",74950,9.62,74708,718656
"2018-09-01",74950,9.62,74708,718656
"2018-09-02",77000,9.36,76758,718656
"2018-09-03",76103,9.47,75861,718656
"2018-09-04",80051,7.68,79536,610656
"2018-09-05",76645,5.49,76403,419776
"2018-09-06",80575,5.23,80333,419776
"2018-09-07",80303,5.34,77536,414080
"2018-09-08",80303,5.17,80061,414080
"2018-09-09",78628,5.28,78386,414080
"2018-09-10",80303,5.17,80061,414080
"2018-09-11",77703,5.35,77461,414080
"2018-09-12",71003,5.85,70761,414080
"2018-09-13",66453,6.25,66211,414080
"2018-09-14",70378,5.9,70136,414080
"2018-09-15",70378,5.9,70136,414080
"2018-09-16",71003,5.85,70761,414080
"2018-09-17",69838,3.8,69771,264912
"2018-09-18",69838,0,0,0
"2018-09-19",69298,7.01,68306,479160
"2018-09-20",66448,7.24,66206,479160
"2018-09-21",67198,7.16,66956,479160
"2018-09-22",67198,7.16,66956,479160
"2018-09-23",68798,6.99,68556,479160
"2018-09-24",68998,6.97,68756,479160
"2018-09-25",66703,9.72,66461,645960
"2018-09-26",70443,9.2,70201,645960
"2018-09-27",71356,8.68,69138,600060
"2018-09-28",69090,8.05,68848,554160
"2018-09-29",69090,8.05,68848,554160
"2018-09-30",68606,8.12,68243,554160
"2018-10-01",68006,9.42,67045,631400
"2018-10-02",70296,9.03,69933,631400
"2018-10-03",71123,9,70410,633640
"2018-10-04",78640,8.09,78277,633640
"2018-10-05",88608,7.18,88245,633640
"2018-10-06",88608,7.18,88245,633640
"2018-10-07",88608,7.18,88245,633640
"2018-10-08",89433,8.61,89070,766520
"2018-10-09",97623,6.91,91335,631520
"2018-10-10",115290,7.67,105897,812280
"2018-10-11",102960,4.45,107503,478240
"2018-10-12",107648,3.02,107285,323800
"2018-10-13",107648,3.02,107285,323800
"2018-10-14",105303,3.09,104940,323800
"2018-10-15",109016,5.73,108047,619300
"2018-10-16",117528,4.97,114560,569780
"2018-10-17",113946,6.82,108763,741860
"2018-10-18",115568,6.07,115205,699560
"2018-10-19",109718,6.13,109355,670640
"2018-10-20",110156,6.11,109793,670640
"2018-10-21",105750,6.36,105387,670640
"2018-10-22",110478,6.82,109665,747880
"2018-10-23",98823,7.88,104650,825120
"2018-10-24",91343,5.96,92600,551480
"2018-10-25",91506,8.87,90460,802000
"2018-10-26",91038,9.51,90675,862000
"2018-10-27",91038,9.51,90675,862000
"2018-10-28",91783,9.43,91420,862000
"2018-10-29",91106,8.76,90743,794500
"2018-10-30",105588,7.93,102297,811680
"2018-10-31",106650,7.65,106166,811680
"2018-11-01",85120,8.18,85086,696160
"2018-11-02",82763,9.02,87619,790600
"2018-11-03",82763,6.79,82279,558920
"2018-11-04",84840,6.62,84389,558920
"2018-11-05",88873,6.92,88389,612040
"2018-11-06",82148,10.89,89146,970820
"2018-11-07",84148,9.23,81794,755080
"2018-11-08",91293,8.32,90809,755080
"2018-11-09",97668,7.77,97184,755080
"2018-11-10",97668,7.77,97184,755080
"2018-11-11",98800,8.26,98316,811780
"2018-11-12",101418,8.04,100934,811780
"2018-11-13",89988,9.69,89504,867360
