"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2017-03-10",99922,0.42,99962,41800
"2017-03-11",99922,0.42,99922,41800
"2017-03-12",99922,0.42,99922,41800
"2017-03-13",99841.04,3.54,99891,353168
"2017-03-14",100177.08,2.79,99927,278584
"2017-03-15",100582.08,2.93,100282,293700
"2017-03-16",100467.21,5.29,100171,530168
"2017-03-17",100904.42,5.55,100399,557436
"2017-03-18",101204.42,1.68,100649,169400
"2017-03-19",101026.5,1.48,100872,149168
"2017-03-20",101403.96,2.26,100957,228252
"2017-03-21",101929.24,3.7,101474,375731
"2017-03-22",102073.19,5.64,101592,573132
"2017-03-23",100644.01,6.22,99984,621464
"2017-03-24",102055.01,1.26,100180,125788
"2017-03-25",102152.01,0.44,101800,45208
"2017-03-26",102152.01,0.01,101897,1220
"2017-03-27",102162.01,0.01,101907,1220
"2017-03-28",102264.01,0.01,102009,1220
"2017-03-29",102312.01,0.01,102057,1220
"2017-03-30",102266.01,0.01,102011,1220
"2017-03-31",102238.01,0.01,101983,1220
"2017-04-01",102238.01,0.01,101983,1220
"2017-04-02",102238.01,0.01,101983,1220
"2017-04-03",102212.01,0.01,101957,1220
"2017-04-04",102228.01,0.01,101973,1220
"2017-04-05",102252.01,0.01,101997,1220
"2017-04-06",102192.01,0.01,101937,1220
"2017-04-07",102112.01,0.01,101857,1220
"2017-04-08",102112.01,0.01,101857,1220
"2017-04-09",102112.01,0.01,101857,1220
"2017-04-10",102024.01,0.01,101769,1220
"2017-04-11",101832.01,0.01,101577,1220
"2017-04-12",101850.01,0.01,101595,1220
"2017-04-13",101772.01,0.01,101517,1220
"2017-04-14",101772.01,0.01,101517,1220
"2017-04-15",101772.01,0.01,101517,1220
"2017-04-16",101772.01,0.01,101517,1220
"2017-04-17",101882.01,0.01,101372,1220
"2017-04-18",101874.01,0.01,101364,1220
"2017-04-19",101928.01,0.01,101418,1220
"2017-04-20",101940.01,0.01,101430,1220
"2017-04-21",101922.01,0.01,101412,1220
"2017-04-22",101920.01,0.04,101410,4000
"2017-04-23",101920.01,0.04,101410,4000
"2017-04-24",102286.01,0.04,101776,4000
"2017-04-25",102354.01,0.04,101844,4000
"2017-04-26",102330.01,0.04,101820,4000
"2017-04-27",102358.01,0.04,101848,4000
"2017-04-28",102358.01,0.04,101848,4000
"2017-04-29",102358.01,0.04,101848,4000
"2017-04-30",102358.01,0.04,101848,4000
"2017-05-01",102470.01,0.04,101960,4000
"2017-05-02",102468.01,0.04,101958,4000
"2017-05-03",102404.01,0.04,101894,4000
"2017-05-04",102486.01,0.04,101976,4000
"2017-05-05",102470.01,0.04,101960,4000
