"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-04-02",99901.25,0.81,99914,81337
"2019-04-03",99994.83,0.92,99868,91443
"2019-04-04",99982.83,0.91,99962,91386
"2019-04-05",100168.65,0.94,100065,93903
"2019-04-06",100168.65,0.94,100136,93903
"2019-04-07",100168.65,0.94,100136,93903
"2019-04-08",100071.29,1.14,100136,114117
"2019-04-09",100249.91,1.24,100038,124126
"2019-04-10",100004.48,1.05,100217,104893
"2019-04-11",99833.87,1.21,99801,120313
"2019-04-12",99716.51,1.31,99801,130367
"2019-04-13",99716.51,1.21,99684,120313
"2019-04-14",99716.51,1.21,99684,120313
"2019-04-15",99721.02,1.03,99684,102893
"2019-04-16",99412.02,0.93,99379,92784
"2019-04-17",99689.23,0.83,99379,82760
"2019-04-18",99610.13,1.17,99603,116312
"2019-04-19",99612.13,1.07,99579,106360
"2019-04-20",99612.13,1.07,99579,106360
"2019-04-21",99612.13,1.07,99579,106360
"2019-04-22",99473.1,0.85,99579,84865
"2019-04-23",99792.92,0.96,99440,95039
"2019-04-24",99986.52,0.6,99760,60199
"2019-04-25",100055.69,0.5,99953,50025
"2019-04-26",100191.69,0.5,100159,50025
"2019-04-27",100191.69,0.5,100159,50025
"2019-04-28",100191.69,0.5,100159,50025
"2019-04-29",100089.67,0.7,100156,70149
"2019-04-30",100258.85,0.5,100056,49995
"2019-05-01",100107.45,0.68,100149,68065
"2019-05-02",99929.81,0.96,99836,95988
"2019-05-03",100458.35,1.16,99864,116200
"2019-05-04",100458.35,0.98,100392,98132
"2019-05-05",100458.35,0.98,100392,98132
"2019-05-06",102821.51,0.8,100392,80294
"2019-05-07",102650.4,0.59,102584,60096
"2019-05-08",102497.4,0.59,102431,60096
"2019-05-09",102557.4,0.76,102429,77356
"2019-05-10",102412.4,0.76,102346,77356
"2019-05-11",102412.4,0.76,102346,77356
"2019-05-12",102412.4,0.76,102346,77356
"2019-05-13",101871.4,0.76,101805,77356
"2019-05-14",101938.4,0.67,101842,68726
"2019-05-15",102071.53,0.67,101872,68566
"2019-05-16",102138.46,0.58,102006,58705
"2019-05-17",102015.46,0.63,102072,64085
"2019-05-18",102015.46,0.63,101949,64085
"2019-05-19",102015.46,0.63,101949,64085
"2019-05-20",102025.46,0.63,101959,64085
"2019-05-21",101978.46,0.49,101959,50075
"2019-05-22",102034.51,0.39,101912,39974
"2019-05-23",102137.18,0.77,101980,78033
"2019-05-24",102326.18,0.68,102071,69739
"2019-05-25",102326.18,0.68,102260,69739
"2019-05-26",102326.18,0.68,102260,69739
"2019-05-27",102326.18,0.68,102260,69739
"2019-05-28",102326.18,0.68,102260,69739
"2019-05-29",102326.18,0.68,102260,69739
"2019-05-30",102326.18,0.68,102260,69739
"2019-05-31",102154.29,0.58,102260,59818
"2019-06-01",102154.29,0.49,102088,49883
"2019-06-02",102154.29,0.49,102088,49883
"2019-06-03",101972.29,0.7,101854,70977
"2019-06-04",102477.89,0.83,101873,84981
"2019-06-05",102863.89,0.7,102379,71917
"2019-06-06",102959.89,0.7,102861,71917
