"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2016-06-09",25000,0,0,0
"2016-06-10",24057,0.87,22251,19256
"2016-06-11",24057,0.81,23875,19256
"2016-06-12",24057,0.81,23875,19256
"2016-06-13",25265,0.77,25083,19256
"2016-06-14",26598.8,0.57,26132,14912
"2016-06-15",26450.8,0.57,26269,14912
"2016-06-16",25652.5,0.63,25036,15738
"2016-06-17",25503.5,0.87,24932,21748
"2016-06-18",25503.5,0.86,25322,21748
"2016-06-19",25503.5,0.86,25322,21748
"2016-06-20",26243.4,0.66,25322,16728
"2016-06-21",26665.4,0.6,27157,16214
"2016-06-22",28169.4,1.02,26113,26689
"2016-06-23",28289.9,0.21,28071,5903
"2016-06-24",29954.9,0.42,28666,11939
"2016-06-25",29954.9,0.4,29773,11939
"2016-06-26",29954.9,0.4,29773,11939
"2016-06-27",31026,0.57,29756,16902
"2016-06-28",30726.4,0.55,30909,17024
"2016-06-29",31930.4,0.74,31765,23581
"2016-06-30",31285.2,0.55,31721,17509
"2016-07-01",31463.2,0.41,31198,12910
"2016-07-02",31463.2,0.22,31281,6730
"2016-07-03",31463.2,0.22,31281,6730
"2016-07-04",31463.2,0.22,31281,6730
"2016-07-05",32133.2,0.21,31951,6730
"2016-07-06",30938.2,0,31121,0
"2016-07-07",30187.8,0.72,29721,21266
"2016-07-08",31559.3,1.3,30541,39600
"2016-07-09",31559.3,0.58,31377,18334
"2016-07-10",31559.3,0.59,31195,18334
"2016-07-11",31607.3,0.54,31077,16669
"2016-07-12",31861.3,1.03,29935,30925
"2016-07-13",32181.3,0.73,32500,23869
"2016-07-14",31788.3,0.92,31646,29144
"2016-07-15",29781.3,0.6,29165,17415
"2016-07-16",29781.3,0.59,29417,17415
"2016-07-17",29781.3,0.59,29417,17415
"2016-07-18",35162.8,0.71,34394,24517
"2016-07-19",35530.3,0.85,35086,29901
"2016-07-20",33916.3,0.77,33317,25739
"2016-07-21",33314.8,0.98,33033,32483
"2016-07-22",29163.8,1,30108,30195
"2016-07-23",29163.8,0.7,28800,20303
"2016-07-24",29163.8,0.7,28800,20303
"2016-07-25",27979.87,1.94,22345,43342
"2016-07-26",42289.5,0.79,27569,21812
"2016-07-27",43989,0.66,41895,27833
"2016-07-28",43603.8,0.12,43369,5000
"2016-07-29",43616.6,0.14,43178,6030
"2016-07-30",43616.6,0.14,43253,6030
"2016-07-31",43616.6,0.14,43253,6030
"2016-08-01",43951.6,0.25,43468,10925
"2016-08-02",44286.6,0.25,43973,11125
"2016-08-03",45241.6,0.14,45178,6230
"2016-08-04",45231.2,0.11,45395,5194
"2016-08-05",45188.2,0.06,43867,2606
"2016-08-06",45188.2,0.06,44824,2606
"2016-08-07",45188.2,0.06,44824,2606
"2016-08-08",45528.2,0.13,45224,5880
"2016-08-09",45700.2,0.27,45138,12268
"2016-08-10",46127.2,0.26,45441,11973
"2016-08-11",44898.2,0.26,44747,11495
"2016-08-12",43663.2,0.4,43762,17405
"2016-08-13",43663.2,0.4,43117,17405
"2016-08-14",43663.2,0.4,43117,17405
"2016-08-15",43508.2,0.27,43771,11820
"2016-08-16",43380.7,0.54,42809,23256
"2016-08-17",43595.7,0.68,42612,29096
"2016-08-18",43513.2,0.26,43083,11383
"2016-08-19",43667.2,0.14,43121,6025
"2016-08-20",43667.2,0.14,43121,6025
"2016-08-21",43667.2,0.14,43121,6025
"2016-08-22",43531.2,0,42934,0
"2016-08-23",43531.2,0,0,0
"2016-08-24",43531.2,0,0,0
"2016-08-25",43531.2,0,0,0
"2016-08-26",43531.2,0,0,0
"2016-08-27",43531.2,0,0,0
"2016-08-28",43531.2,0,0,0
"2016-08-29",43531.2,0,0,0
"2016-08-30",43531.2,0,0,0
"2016-08-31",43531.2,0,0,0
"2016-09-01",44024.2,0.47,42951,20077
"2016-09-02",43817.2,1.54,42285,64950
"2016-09-03",43817.2,0,0,0
"2016-09-04",43817.2,0,0,0
"2016-09-05",43817.2,0,0,0
"2016-09-06",45427.2,0.99,43209,42918
"2016-09-07",46122.2,0.53,45091,23820
"2016-09-08",46122.2,0,0,0
"2016-09-09",46122.2,0,0,0
"2016-09-10",46122.2,0,0,0
"2016-09-11",46122.2,0,0,0
"2016-09-12",46122.2,0,0,0
"2016-09-13",46032.2,0.23,45364,10290
"2016-09-14",45792.2,0.23,45064,10290
"2016-09-15",46542.2,0,45814,0
"2016-09-16",46437.2,0.2,45779,9170
"2016-09-17",46437.2,0.2,45709,9170
"2016-09-18",46437.2,0.2,45709,9170
"2016-09-19",44011.7,0.85,45614,38812
"2016-09-20",43783.9,0.88,43166,38128
"2016-09-21",43386.9,0.81,42862,34920
"2016-09-22",43582.6,0.26,42333,10930
"2016-09-23",42856.4,0.63,42808,26964
"2016-09-24",42856.4,0.15,42128,6439
"2016-09-25",42856.4,0.15,42128,6439
"2016-09-26",42824.4,0.06,41892,2369
"2016-09-27",44876.8,0.57,42012,23945
"2016-09-28",46658.8,0.76,41172,31230
"2016-09-29",47005.2,0.05,46114,2369
"2016-09-30",46804.2,0.16,46103,7335
"2016-10-01",46804.2,0.16,46076,7533
"2016-10-02",46804.2,0.16,46076,7533
"2016-10-03",47245.2,0.16,46517,7533
"2016-10-04",47254.2,0.26,46483,12300
"2016-10-05",46317.2,0.5,46483,23119
"2016-10-06",47041.2,0.58,45491,26175
"2016-10-07",46365.2,0.68,46511,31667
"2016-10-08",46365.2,0.17,45455,7667
"2016-10-09",46365.2,0.17,45455,7667
"2016-10-10",46857.2,0.06,45705,2567
"2016-10-11",48881.2,0.48,45867,22007
"2016-10-12",49406,0.58,47870,27567
"2016-10-13",50962.8,0.26,48551,12448
"2016-10-14",52623.4,0.34,50834,17395
"2016-10-15",52623.4,0.15,51713,7514
"2016-10-16",52623.4,0.15,51713,7514
"2016-10-17",53613.4,0.38,52710,20134
"2016-10-18",51564.4,0.5,52676,26234
"2016-10-19",52764.4,0.17,53035,9087
"2016-10-20",52855.4,0.15,51945,7917
"2016-10-21",52844.4,0.16,52495,8219
"2016-10-22",52844.4,0.05,51934,2567
"2016-10-23",52844.4,0.05,51934,2567
"2016-10-24",54002.4,0.53,51886,27575
"2016-10-25",54467.4,0.16,53130,8717
"2016-10-26",55463.4,0.16,54553,8717
"2016-10-27",54724.1,0.25,53700,13409
