"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2017-04-03",25000,0,0,0
"2017-04-04",25000,0,0,0
"2017-04-05",25671.84,14.9,23855,355488
"2017-04-06",25671.84,0,0,0
"2017-04-07",25671.84,0,0,0
"2017-04-08",25671.84,0,0,0
"2017-04-09",25671.84,0,0,0
"2017-04-10",26056,4.69,25284,118496
"2017-04-11",26298.28,11.8,25096,296240
"2017-04-12",26298.28,0,0,0
"2017-04-13",26849.28,23.54,25167,592480
"2017-04-14",26849.28,0,0,0
"2017-04-15",26849.28,0,0,0
"2017-04-16",26849.28,0,0,0
"2017-04-17",26819.58,6.71,26488,177744
"2017-04-18",27515.72,6.51,27324,177744
"2017-04-19",28664.44,23.03,25732,592480
"2017-04-20",29089,10.49,28232,296240
"2017-04-21",28870.24,6.3,28223,177744
"2017-04-22",28870.24,0,0,0
"2017-04-23",28870.24,0,0,0
"2017-04-24",28870.24,0,0,0
"2017-04-25",27941.98,10.93,27110,296240
"2017-04-26",27673.72,21.76,27227,592480
"2017-04-27",29114.32,13.14,27057,355488
"2017-04-28",29114.32,0,0,0
"2017-04-29",29114.32,0,0,0
"2017-04-30",29114.32,0,0,0
"2017-05-01",28341.46,33.31,26684,888720
"2017-05-02",27732.9,10.81,27401,296240
"2017-05-03",28012.86,19.13,27876,533232
"2017-05-04",29341.98,23.34,27928,651728
"2017-05-05",30166,34.27,27662,947968
"2017-05-06",30166,0,0,0
"2017-05-07",30166,0,0,0
"2017-05-08",30964,11.95,29745,355488
"2017-05-09",31513,12.32,28854,355488
"2017-05-10",31402,11.66,30483,355488
"2017-05-11",30127,25.59,27783,710976
"2017-05-12",30814,6.13,29010,177744
"2017-05-13",30814,5.9,30150,177744
"2017-05-14",30853,5.88,30204,177744
"2017-05-15",31459,11.81,30105,355488
"2017-05-16",31128,17.29,30844,533232
"2017-05-17",33351,11.74,30272,355488
"2017-05-18",34731,5.48,32447,177744
"2017-05-19",35724,10.28,34595,355488
"2017-05-20",35724,0,0,0
"2017-05-21",35805,5.07,35036,177744
"2017-05-22",35733,5.16,34424,177744
"2017-05-23",34356,10.63,33452,355488
"2017-05-24",32376,22.01,32297,710976
"2017-05-25",34290,22.19,32036,710976
"2017-05-26",35244,5.24,33905,177744
"2017-05-27",35244,0,0,0
"2017-05-28",35244,0,0,0
"2017-05-29",35244,0,0,0
"2017-05-30",35550,5.14,34556,177744
"2017-05-31",35456,27.08,32817,888720
