"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-08-05",5076,3.73,4868,18178
"2019-08-06",4753,3.91,4621,18075
"2019-08-07",4958,0,4764,0
"2019-08-08",5034,3.76,4826,18149
"2019-08-09",5034,0,0,0
"2019-08-10",5034,0,0,0
"2019-08-11",5110,3.7,4902,18161
"2019-08-12",5110,0,0,0
"2019-08-13",5110,0,0,0
"2019-08-14",5185,3.62,4978,18019
"2019-08-15",5185,0,0,0
"2019-08-16",5185,0,0,0
"2019-08-17",5185,0,0,0
"2019-08-18",5010,3.71,4878,18096
"2019-08-19",5263,0,4822,0
"2019-08-20",5263,0,0,0
"2019-08-21",5339,3.52,5131,18064
"2019-08-22",5414,3.46,5207,18041
"2019-08-23",5414,0,0,0
"2019-08-24",5414,0,0,0
"2019-08-25",5414,0,0,0
"2019-08-26",5414,0,0,0
"2019-08-27",5489,3.42,5282,18070
"2019-08-28",5479,3.37,5357,18037
"2019-08-29",5564,0,5321,0
"2019-08-30",5564,0,0,0
"2019-08-31",5564,0,0,0
"2019-09-01",5564,0,0,0
"2019-09-02",5639,3.32,5432,18016
"2019-09-03",5714,3.27,5507,17997
"2019-09-04",5714,0,0,0
"2019-09-05",5714,0,0,0
"2019-09-06",5714,0,0,0
"2019-09-07",5714,0,0,0
"2019-09-08",5714,0,0,0
"2019-09-09",5714,3.34,5450,18226
"2019-09-10",5985,3.41,5344,18248
"2019-09-11",5985,0,0,0
"2019-09-12",5985,0,0,0
"2019-09-13",5985,0,0,0
"2019-09-14",5985,0,0,0
"2019-09-15",5985,0,0,0
"2019-09-16",5985,0,0,0
"2019-09-17",5985,0,0,0
"2019-09-18",6061,3.16,5721,18062
"2019-09-19",6061,0,0,0
"2019-09-20",6061,0,0,0
"2019-09-21",6061,0,0,0
"2019-09-22",6061,0,0,0
"2019-09-23",6061,0,0,0
"2019-09-24",6061,0,0,0
"2019-09-25",6061,0,0,0
"2019-09-26",6061,0,0,0
"2019-09-27",6061,0,0,0
"2019-09-28",6061,0,0,0
"2019-09-29",6061,0,0,0
"2019-09-30",6061,0,0,0
"2019-10-01",6136,3.13,5797,18155
"2019-10-02",6329,0,5983,0
"2019-10-03",6329,0,0,0
"2019-10-04",6329,0,0,0
"2019-10-05",6329,0,0,0
"2019-10-06",6329,0,0,0
"2019-10-07",6329,0,0,0
"2019-10-08",6386,3.04,5933,18011
"2019-10-09",6450,3.01,5990,18002
"2019-10-10",6515,2.98,6054,18065
"2019-10-11",6571,2.97,6119,18193
"2019-10-12",6571,0,0,0
"2019-10-13",6571,0,0,0
"2019-10-14",6243,3.1,5847,18134
"2019-10-15",6204,3.26,5585,18183
"2019-10-16",6204,0,0,0
"2019-10-17",6393,3.15,5808,18270
"2019-10-18",6393,0,0,0
"2019-10-19",6393,0,0,0
"2019-10-20",6393,0,0,0
"2019-10-21",6241,3.45,5845,20171
"2019-10-22",6393,0,5845,0
"2019-10-23",6315,3.1,5919,18361
"2019-10-24",6460,0,5876,0
"2019-10-25",6514,3.03,6064,18384
"2019-10-26",6514,0,0,0
"2019-10-27",6514,0,0,0
"2019-10-28",6581,3,6118,18383
"2019-10-29",6581,0,0,0
"2019-10-30",6640,2.95,6185,18239
"2019-10-31",6705,2.92,6244,18232
"2019-11-01",6705,0,0,0
"2019-11-02",6705,0,0,0
"2019-11-03",6705,0,0,0
"2019-11-04",6651,2.98,6123,18251
"2019-11-05",6827,2.93,6233,18242
"2019-11-06",6767,2.92,6239,18208
"2019-11-07",6973,2.86,6372,18218
"2019-11-08",6973,0,0,0
"2019-11-09",6973,0,0,0
"2019-11-10",6973,0,0,0
"2019-11-11",6742,2.92,6214,18138
"2019-11-12",6913,2.84,6385,18137
"2019-11-13",6870,2.87,6309,18113
"2019-11-14",6911,0,6342,0
"2019-11-15",6911,0,0,0
"2019-11-16",6911,0,0,0
"2019-11-17",6911,0,0,0
"2019-11-18",6911,0,0,0
"2019-11-19",7007,2.83,6383,18090
"2019-11-20",6897,2.83,6369,18040
"2019-11-21",6674,2.94,6146,18066
"2019-11-22",6741,0,6146,0
"2019-11-23",6741,0,0,0
"2019-11-24",6741,0,0,0
"2019-11-25",6816,2.9,6213,18047
"2019-11-26",6891,2.88,6288,18084
"2019-11-27",6967,2.84,6363,18071
"2019-11-28",6939,2.82,6411,18070
"2019-11-29",7042,0,6401,0
"2019-11-30",7042,0,0,0
"2019-12-01",7042,0,0,0
"2019-12-02",7117,2.77,6514,18034
"2019-12-03",7117,0,0,0
"2019-12-04",7193,2.82,6457,18182
"2019-12-05",7148,2.81,6488,18218
"2019-12-06",7191,0,6488,0
"2019-12-07",7191,0,0,0
"2019-12-08",7191,0,0,0
"2019-12-09",7157,2.79,6497,18128
"2019-12-10",7342,2.75,6606,18140
"2019-12-11",7418,2.73,6682,18219
"2019-12-12",7418,0,0,0
"2019-12-13",7418,0,0,0
"2019-12-14",7418,0,0,0
"2019-12-15",7418,0,0,0
"2019-12-16",7418,0,0,0
"2019-12-17",7418,0,0,0
"2019-12-18",7418,0,0,0
"2019-12-19",7418,0,0,0
"2019-12-20",7418,0,0,0
"2019-12-21",7418,0,0,0
"2019-12-22",7418,0,0,0
"2019-12-23",7493,2.7,6758,18256
"2019-12-24",7493,0,0,0
"2019-12-25",7493,0,0,0
"2019-12-26",7493,0,0,0
"2019-12-27",7526,2.69,6833,18350
"2019-12-28",7526,2.67,6866,18350
"2019-12-29",7463,0,6866,0
"2019-12-30",7468,2.7,6803,18364
"2019-12-31",7524,0,6808,0
"2020-01-01",7524,0,0,0
"2020-01-02",7524,0,0,0
"2020-01-03",7589,2.74,6732,18468
"2020-01-04",7589,0,0,0
"2020-01-05",7589,0,0,0
"2020-01-06",7542,2.74,6750,18513
"2020-01-07",7715,0,6787,0
"2020-01-08",7598,2.7,6806,18406
"2020-01-09",7595,0,6719,0
"2020-01-10",7682,2.7,6803,18392
"2020-01-11",7682,2.67,6890,18392
"2020-01-12",7757,0,6890,0
"2020-01-13",7709,2.66,6917,18382
"2020-01-14",7805,2.61,7028,18374
"2020-01-15",7630,2.69,6838,18403
"2020-01-16",7669,2.68,6877,18403
"2020-01-17",7686,0,6922,0
"2020-01-18",7686,0,0,0
"2020-01-19",7686,0,0,0
"2020-01-20",7469,2.75,6677,18394
"2020-01-21",7362,0,6686,0
"2020-01-22",7433,2.78,6570,18272
"2020-01-23",7350,2.79,6558,18283
"2020-01-24",7305,0,6522,0
"2020-01-25",7305,0,0,0
"2020-01-26",7305,0,0,0
"2020-01-27",7175,2.85,6383,18190
"2020-01-28",7442,2.77,6581,18243
"2020-01-29",7442,0,0,0
"2020-01-30",7442,0,0,0
"2020-01-31",7496,2.73,6650,18139
"2020-02-01",7496,2.76,6572,18139
"2020-02-02",7517,0,6572,0
"2020-02-03",7517,0,0,0
"2020-02-04",7587,2.74,6593,18078
"2020-02-05",7587,0,0,0
"2020-02-06",7587,0,0,0
"2020-02-07",7587,0,0,0
"2020-02-08",7587,0,0,0
"2020-02-09",7587,0,0,0
"2020-02-10",7731,2.7,6663,18023
"2020-02-11",7801,2.65,6807,18065
"2020-02-12",7801,0,0,0
"2020-02-13",7801,0,0,0
"2020-02-14",7813,2.63,6877,18116
"2020-02-15",7813,2.63,6889,18116
"2020-02-16",7870,0,6919,0
"2020-02-17",7788,2.64,6864,18134
"2020-02-18",7721,0,6830,0
"2020-02-19",7721,0,0,0
"2020-02-20",7721,0,0,0
"2020-02-21",7794,2.67,6797,18153
"2020-02-22",7794,0,0,0
"2020-02-23",7794,0,0,0
"2020-02-24",7658,2.68,6734,18054
"2020-02-25",7606,2.73,6614,18075
"2020-02-26",7266,2.84,6342,18002
"2020-02-27",6720,3.09,5796,17924
"2020-02-28",6990,3.04,5901,17923
"2020-02-29",6990,0,0,0
"2020-03-01",6990,0,0,0
"2020-03-02",6990,0,0,0
"2020-03-03",7128,3.02,5934,17930
"2020-03-04",7128,0,0,0
"2020-03-05",7208,2.95,6072,17896
"2020-03-06",6812,3.11,5756,17883
"2020-03-07",6812,3.11,5756,17883
"2020-03-08",6812,0,5756,0
"2020-03-09",5808,3.04,5756,17520
"2020-03-10",5808,0,0,0
"2020-03-11",5880,3.67,4752,17425
"2020-03-12",6024,3.57,4824,17236
"2020-03-13",6024,0,0,0
"2020-03-14",6024,0,0,0
"2020-03-15",6024,0,0,0
"2020-03-16",6096,3.45,4968,17125
"2020-03-17",6096,0,0,0
"2020-03-18",6165,3.28,5040,16531
"2020-03-19",6165,0,0,0
"2020-03-20",6165,0,0,0
"2020-03-21",6165,0,0,0
"2020-03-22",6234,3.28,5109,16741
"2020-03-23",6234,0,0,0
"2020-03-24",6303,3.2,5178,16595
"2020-03-25",6374,3.22,5247,16912
"2020-03-26",6418,3.22,5318,17119
"2020-03-27",6492,3.2,5362,17178
"2020-03-28",6492,0,0,0
"2020-03-29",6492,0,0,0
"2020-03-30",6535,3.12,5436,16945
"2020-03-31",6535,0,0,0
"2020-04-01",6535,0,0,0
"2020-04-02",6535,0,0,0
"2020-04-03",6349,3.28,5161,16905
"2020-04-04",6349,3.28,5161,16905
"2020-04-05",6587,0,4983,0
"2020-04-06",6587,0,0,0
"2020-04-07",6587,0,0,0
"2020-04-08",6587,0,0,0
"2020-04-09",6587,0,0,0
