"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-05-01",50000,0,0,0
"2019-05-02",50000,0,0,0
"2019-05-03",50000.92,0.01,49842,363
"2019-05-04",50000.92,0.01,49843,363
"2019-05-05",50000.92,0.01,49843,363
"2019-05-06",50007.51,0.05,49833,2283
"2019-05-07",49840.88,0.2,49730,9809
"2019-05-08",49875.43,0.24,49738,11755
"2019-05-09",49867.32,0.26,49407,12677
"2019-05-10",50173.11,0.28,49709,13681
"2019-05-11",50173.11,0.27,50015,13681
"2019-05-12",50173.11,0.27,50015,13681
"2019-05-13",49786.89,0.3,49602,14741
"2019-05-14",50079.89,0.3,49922,14741
"2019-05-15",50245.89,0.29,50088,14741
"2019-05-16",50377.89,0.29,50220,14741
"2019-05-17",50348.8,0.3,50220,14964
"2019-05-18",50348.8,0.3,50191,15159
"2019-05-19",50348.8,0.3,50191,15159
"2019-05-20",50313.7,0.31,50191,15438
"2019-05-21",50463.7,0.31,50306,15634
"2019-05-22",50479.6,0.27,50305,13480
"2019-05-23",50389.42,0.22,50321,10836
"2019-05-24",50436.42,0.22,50278,11254
"2019-05-25",50436.42,0.22,50278,11254
"2019-05-26",50436.42,0.22,50278,11254
"2019-05-27",50436.42,0.22,50278,11254
"2019-05-28",50377.24,0.24,50282,11868
"2019-05-29",50330.08,0.26,50138,12850
"2019-05-30",50372.02,0.26,50241,12967
"2019-05-31",50256.96,0.27,50068,13419
"2019-06-01",50256.96,0.27,49941,13419
"2019-06-02",50256.96,0.27,49941,13419
"2019-06-03",50236.96,0.27,49921,13419
"2019-06-04",50420.96,0.27,50105,13419
"2019-06-05",50477.96,0.27,50162,13419
"2019-06-06",50532.96,0.27,50217,13419
"2019-06-07",50512.96,0.27,50197,13419
"2019-06-08",50512.96,0.27,50197,13419
"2019-06-09",50512.96,0.27,50197,13419
"2019-06-10",50527.96,0.27,50212,13419
"2019-06-11",50526.96,0.27,50211,13419
"2019-06-12",50536.96,0.27,50221,13419
"2019-06-13",50548.96,0.27,50233,13419
"2019-06-14",50571.96,0.27,50256,13419
"2019-06-15",50571.96,0.27,50256,13419
"2019-06-16",50571.96,0.27,50256,13419
"2019-06-17",50597.96,0.27,50282,13419
"2019-06-18",50622.96,0.27,50307,13419
"2019-06-19",50681.96,0.27,50366,13419
"2019-06-20",50678.88,0.27,50366,13615
"2019-06-21",50651.88,0.27,50336,13782
"2019-06-22",50651.88,0.27,50336,13782
"2019-06-23",50651.88,0.27,50336,13782
"2019-06-24",50653.88,0.27,50338,13782
"2019-06-25",50634.71,0.28,50329,13939
"2019-06-26",50652.11,0.26,50343,12987
"2019-06-27",50669.11,0.23,50353,11372
"2019-06-28",50682.11,0.23,50366,11372
"2019-06-29",50682.11,0.23,50366,11372
"2019-06-30",50682.11,0.23,50208,11372
"2019-07-01",50750.11,0.23,50276,11372
"2019-07-02",50793.11,0.23,50319,11372
"2019-07-03",50784.11,0.23,50310,11372
"2019-07-04",50784.11,0.23,50310,11372
"2019-07-05",50795.03,0.23,50310,11539
"2019-07-06",50795.03,0.23,50321,11734
"2019-07-07",50795.03,0.23,50321,11734
"2019-07-08",50793.03,0.23,50319,11734
"2019-07-09",50796.03,0.23,50322,11734
"2019-07-10",50820.03,0.23,50346,11734
"2019-07-11",50812.03,0.23,50338,11734
"2019-07-12",50812.03,0.23,50338,11734
"2019-07-13",50812.03,0.23,50338,11734
"2019-07-14",50812.03,0.23,50338,11734
"2019-07-15",50826.03,0.23,50352,11734
"2019-07-16",50831.03,0.23,50357,11734
"2019-07-17",50832.95,0.24,50347,11930
"2019-07-18",50842.95,0.24,50369,12097
"2019-07-19",50847.95,0.24,50374,12097
"2019-07-20",50847.95,0.24,50374,12097
"2019-07-21",50847.95,0.24,50374,12097
"2019-07-22",50852.95,0.24,50379,12097
"2019-07-23",50861.95,0.24,50388,12097
"2019-07-24",50852.42,0.25,50377,12345
"2019-07-25",50868.42,0.25,50394,12466
"2019-07-26",50860.42,0.25,50386,12466
"2019-07-27",50860.42,0.25,50386,12466
"2019-07-28",50860.42,0.25,50386,12466
"2019-07-29",50862.42,0.25,50388,12466
"2019-07-30",50871.42,0.25,50239,12466
"2019-07-31",50875.42,0.25,50243,12466
"2019-08-01",50847.1,0.28,50198,13917
"2019-08-02",50817.85,0.3,50129,15062
"2019-08-03",50817.85,0.3,50186,15062
"2019-08-04",50817.85,0.3,50186,15062
"2019-08-05",50454.78,0.4,50000,20029
"2019-08-06",50926.88,0.48,50229,24214
"2019-08-07",50899.4,0.53,49780,26474
"2019-08-08",51232.14,0.55,50267,27674
"2019-08-09",51082.54,0.6,50517,30437
"2019-08-10",51483.54,0.6,50852,30437
"2019-08-11",51082.54,0.6,50451,30437
"2019-08-12",50611,0.66,50271,32948
"2019-08-13",51325.49,0.7,50596,35293
"2019-08-14",50481.76,0.78,49850,38697
"2019-08-15",50672.57,0.79,49961,39590
"2019-08-16",51313.39,0.8,50476,40427
"2019-08-17",51313.39,0.8,50681,40427
"2019-08-18",51313.39,0.8,50681,40427
"2019-08-19",51932.39,0.79,51300,40427
"2019-08-20",51837.39,0.79,51205,40427
"2019-08-21",52083.39,0.79,51451,40427
"2019-08-22",52072.39,0.79,51440,40427
"2019-08-23",51437.39,0.8,50805,40427
"2019-08-24",51437.39,0.8,50805,40427
"2019-08-25",51437.39,0.8,50805,40427
"2019-08-26",51603.39,0.79,50971,40427
"2019-08-27",51440.39,0.8,50808,40427
"2019-08-28",51616.39,0.79,50984,40427
"2019-08-29",51977.39,0.79,51187,40427
"2019-08-30",51959.39,0.79,51169,40427
"2019-08-31",51959.39,0.79,51169,40427
"2019-09-01",51959.39,0.79,51169,40427
"2019-09-02",51959.39,0.79,51169,40427
"2019-09-03",51663.39,0.79,50873,40427
"2019-09-04",52174.39,0.79,51384,40427
"2019-09-05",52384.39,0.78,51594,40427
"2019-09-06",52517.39,0.78,51727,40427
"2019-09-07",52517.39,0.78,51727,40427
"2019-09-08",52517.39,0.78,51727,40427
"2019-09-09",52580.37,0.78,51727,40388
"2019-09-10",52566.37,0.78,51776,40332
"2019-09-11",52665.37,0.78,51875,40332
"2019-09-12",52744.37,0.78,51954,40332
"2019-09-13",52745.37,0.78,51955,40332
"2019-09-14",52745.37,0.78,51955,40332
"2019-09-15",52745.37,0.78,51955,40332
"2019-09-16",52728.37,0.78,51938,40332
"2019-09-17",52721.37,0.78,51931,40332
