"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2014-11-03",100208.15,1,99988,99824
"2014-11-04",100043.15,1,100043,99824
"2014-11-05",99990.15,1,99990,99824
"2014-11-06",99523.15,1,99523,99824
"2014-11-07",99772.15,1,99772,99824
"2014-11-08",99794.15,1,99794,99824
"2014-11-09",99794.15,1,99794,99824
"2014-11-10",99829.15,1,99771,99824
"2014-11-11",99932.15,1,99874,99824
"2014-11-12",99709.15,1,99651,99824
"2014-11-13",99946.15,1,99888,99824
"2014-11-14",100106.15,1,100048,99824
"2014-11-15",100106.15,1,100048,99824
"2014-11-16",100106.15,1,100048,99824
"2014-11-17",100037.15,1,99979,99824
"2014-11-18",100402.15,0.99,100344,99824
"2014-11-19",100022.15,1,99964,99824
"2014-11-20",100063.15,1,100005,99824
"2014-11-21",100666.15,0.99,100608,99824
"2014-11-22",100666.15,0.99,100608,99824
"2014-11-23",100666.15,0.99,100608,99824
"2014-11-24",100854.15,0.99,100796,99824
"2014-11-25",101158.15,0.99,101100,99824
"2014-11-26",101494.15,0.98,101436,99824
"2014-11-27",101494.15,0.98,101436,99824
"2014-11-28",101814.94,0.98,101430,99021
"2014-11-29",101814.94,0.97,101757,99021
"2014-11-30",101814.94,0.97,101757,99021
"2014-12-01",101187.94,0.98,101130,99021
"2014-12-02",100913.94,0.98,100856,99021
"2014-12-03",101136.94,0.98,101079,99021
"2014-12-04",101548.94,0.98,101491,99021
"2014-12-05",101255.94,0.98,101198,99021
"2014-12-06",101255.94,0.98,101198,99021
"2014-12-07",101255.94,0.98,101198,99021
"2014-12-08",101761.94,0.97,101704,99021
"2014-12-09",102098.94,0.97,102041,99021
"2014-12-10",102110.94,0.97,101995,99021
"2014-12-11",102363.94,0.97,102248,99021
"2014-12-12",102572.94,0.97,102457,99021
"2014-12-13",102572.94,0.97,102457,99021
"2014-12-14",102572.94,0.97,102457,99021
"2014-12-15",102035.94,0.97,101920,99021
"2014-12-16",102398.94,0.97,102283,99021
"2014-12-17",102713.94,0.97,102598,99021
"2014-12-18",102537.94,0.97,102422,99021
"2014-12-19",103177.94,0.96,103062,99021
"2014-12-20",103177.94,0.96,103062,99021
"2014-12-21",103177.94,0.96,103062,99021
"2014-12-22",103669.94,0.96,103554,99021
"2014-12-23",102600.94,0.97,102485,99021
"2014-12-24",102229.94,0.97,102114,99021
