"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-01-17",50236.1,1,49840,49725
"2019-01-18",50901.1,0.98,50743,49725
"2019-01-19",50901.1,0.98,50743,49725
"2019-01-20",50901.1,0.98,50743,49725
"2019-01-21",50901.1,0.98,50743,49725
"2019-01-22",50217.1,0.99,50059,49725
"2019-01-23",50321.1,0.99,50163,49725
"2019-01-24",50348.1,0.99,50190,49725
"2019-01-25",50823.2,0,50687,0
"2019-01-26",50823.2,0,0,0
"2019-01-27",50823.2,0,0,0
"2019-01-28",50823.2,0,0,0
"2019-01-29",50823.2,0,0,0
"2019-01-30",50823.2,0,0,0
"2019-01-31",51774.7,2.14,50663,108308
"2019-02-01",51880.45,1.01,51609,52070
"2019-02-02",51880.45,1.01,51722,52070
"2019-02-03",51880.45,1.01,51722,52070
"2019-02-04",52222.7,1,51714,51816
"2019-02-05",52450.7,0.99,52293,51816
"2019-02-06",52356.75,1.01,52284,52718
"2019-02-07",52886.75,1,52729,52718
"2019-02-08",52816.75,1,52659,52718
"2019-02-09",52816.75,1,52659,52718
"2019-02-10",52816.75,1,52659,52718
"2019-02-11",52578.75,1.01,52650,53010
"2019-02-12",52588.9,0.98,52412,51365
"2019-02-13",52420.9,0.98,52263,51365
"2019-02-14",52554.9,0.98,52397,51365
"2019-02-15",52186.1,0,52392,0
"2019-02-16",52186.1,0,0,0
"2019-02-17",52186.1,0,0,0
"2019-02-18",52186.1,0,0,0
"2019-02-19",51933.6,1.01,51868,52204
"2019-02-20",52040.42,1,51611,51667
"2019-02-21",51958.24,1.01,51718,52051
"2019-02-22",51639.24,1.01,51323,52051
"2019-02-23",51639.24,1.01,51323,52051
"2019-02-24",51639.24,1.01,51323,52051
"2019-02-25",51141.14,1.02,50825,52078
"2019-02-26",51087.14,1.03,50771,52078
"2019-02-27",50797.04,1.01,50765,51163
"2019-02-28",50924.04,1.01,50608,51163
"2019-03-01",50593.04,1.02,50277,51163
"2019-03-02",50593.04,1.02,50277,51163
"2019-03-03",50593.04,1.02,50277,51163
"2019-03-04",50771.04,1.01,50455,51163
"2019-03-05",50848.04,1.01,50532,51163
"2019-03-06",51174.04,1.01,50858,51163
"2019-03-07",50381.04,2.76,50065,138360
"2019-03-08",49318.54,0,50063,0
"2019-03-09",49318.54,0,0,0
"2019-03-10",49318.54,0,0,0
"2019-03-11",49969.5,1.12,48999,54891
"2019-03-12",50163.5,1.1,49848,54891
"2019-03-13",50543.5,1.09,50228,54891
"2019-03-14",50502.5,1.09,50187,54891
"2019-03-15",50785.5,1.09,50470,54891
"2019-03-16",50785.5,1.09,50470,54891
"2019-03-17",50785.5,1.09,50470,54891
"2019-03-18",50690.36,0.78,50461,39385
"2019-03-19",50315.2,1.22,49841,60949
"2019-03-20",50068.2,1.23,49594,60949
"2019-03-21",50721.2,1.21,50247,60949
"2019-03-22",49552.2,1.24,49078,60949
"2019-03-23",49552.2,1.24,49078,60949
"2019-03-24",49552.2,1.24,49078,60949
"2019-03-25",49503.2,1.24,49029,60949
"2019-03-26",49909.2,1.23,49435,60949
"2019-03-27",49672.2,1.24,49198,60949
"2019-03-28",49879.2,1.23,49405,60949
"2019-03-29",50260.2,1.22,49786,60949
"2019-03-30",50260.2,1.22,49786,60949
"2019-03-31",50260.2,1.22,49786,60949
"2019-04-01",50959.2,1.21,50485,60949
"2019-04-02",50978.82,0.6,50478,30308
"2019-04-03",50656.53,1.23,50183,61610
"2019-04-04",50787.53,1.22,50314,61610
"2019-04-05",51053.53,1.22,50580,61610
"2019-04-06",51053.53,1.22,50580,61610
"2019-04-07",51053.53,1.22,50580,61610
"2019-04-08",50881.15,0.61,50407,30516
"2019-04-09",50911.89,1.19,50400,59910
"2019-04-10",51115.89,1.18,50642,59910
"2019-04-11",51092.89,1.18,50619,59910
"2019-04-12",51496.89,1.17,51023,59910
"2019-04-13",51496.89,1.17,51023,59910
"2019-04-14",51496.89,1.17,51023,59910
"2019-04-15",51443.89,1.18,50970,59910
"2019-04-16",51500.89,1.17,51027,59910
"2019-04-17",51919.54,1.77,51020,90234
"2019-04-18",51817.94,1.28,51186,65264
"2019-04-19",51817.94,1.28,51186,65264
"2019-04-20",51817.94,1.28,51186,65264
"2019-04-21",51817.94,1.28,51186,65264
"2019-04-22",51886.94,1.27,51255,65264
"2019-04-23",51771.03,1.75,51248,89804
"2019-04-24",51828.03,0.48,51196,24540
"2019-04-25",51812.24,1.26,51189,64583
"2019-04-26",52122.24,1.25,51490,64583
"2019-04-27",52122.24,1.25,51490,64583
"2019-04-28",52122.24,1.25,51490,64583
"2019-04-29",52198.24,1.25,51566,64583
"2019-04-30",52234.24,1.25,51602,64583
"2019-05-01",51740.24,1.26,51108,64583
"2019-05-02",51609.24,1.27,50977,64583
"2019-05-03",52210.24,1.25,51578,64583
"2019-05-04",52210.24,1.25,51578,64583
"2019-05-05",52210.24,1.25,51578,64583
"2019-05-06",51951.24,1.26,51319,64583
"2019-05-07",50869.24,1.29,50237,64583
"2019-05-08",50773.24,1.29,50141,64583
"2019-05-09",50566.24,1.29,49934,64583
"2019-05-10",50853.24,1.29,50221,64583
"2019-05-11",50853.24,1.29,50221,64583
"2019-05-12",50853.24,1.29,50221,64583
"2019-05-13",49332.24,1.33,48700,64583
"2019-05-14",49810.24,1.31,49178,64583
"2019-05-15",50148.24,1.3,49516,64583
"2019-05-16",50686.24,1.29,50054,64583
"2019-05-17",50304.24,1.3,49514,64583
"2019-05-18",50304.24,1.3,49514,64583
"2019-05-19",50304.24,1.3,49514,64583
"2019-05-20",49918.24,1.31,49128,64583
"2019-05-21",50423.24,1.3,49633,64583
"2019-05-22",50252.24,1.31,49462,64583
"2019-05-23",49269.24,1.33,48479,64583
"2019-05-24",49269.24,1.33,48479,64583
"2019-05-25",49269.24,1.33,48479,64583
"2019-05-26",49269.24,1.33,48479,64583
"2019-05-27",49269.24,1.33,48479,64583
"2019-05-28",49269.24,1.33,48479,64583
"2019-05-29",49269.24,1.33,48479,64583
"2019-05-30",49269.24,1.33,48479,64583
"2019-05-31",49269.24,1.33,48479,64583
"2019-06-01",49269.24,1.33,48479,64583
"2019-06-02",49269.24,1.33,48479,64583
"2019-06-03",47947.24,1.37,47157,64583
"2019-06-04",49094.24,1.34,48304,64583
"2019-06-05",49567.24,1.32,48777,64583
"2019-06-06",49933.24,1.31,49143,64583
"2019-06-07",50526.24,1.3,49736,64583
"2019-06-08",50526.24,1.3,49736,64583
"2019-06-09",50526.24,1.3,49736,64583
"2019-06-10",50805.24,1.29,50015,64583
"2019-06-11",50789.24,1.29,49999,64583
"2019-06-12",50678.24,1.29,49888,64583
"2019-06-13",50944.24,1.29,50154,64583
"2019-06-14",50841.24,1.29,50051,64583
"2019-06-15",50841.24,1.29,50051,64583
"2019-06-16",50841.24,1.29,50051,64583
"2019-06-17",50877.24,1.29,49929,64583
"2019-06-18",51486.24,1.28,50538,64583
"2019-06-19",51661.24,1.27,50713,64583
"2019-06-20",52254.24,1.26,51306,64583
"2019-06-21",52170.24,1.26,51222,64583
"2019-06-22",52170.24,1.26,51222,64583
"2019-06-23",52170.24,1.26,51222,64583
"2019-06-24",52083.24,1.26,51135,64583
"2019-06-25",51414.24,1.28,50466,64583
"2019-06-26",51322.24,1.28,50374,64583
"2019-06-27",51557.24,1.28,50609,64583
"2019-06-28",51856.24,1.27,50908,64583
"2019-06-29",51856.24,1.27,50908,64583
"2019-06-30",51856.24,1.27,50908,64583
"2019-07-01",52417.24,1.25,51469,64583
"2019-07-02",52663.24,1.25,51715,64583
"2019-07-03",53157.24,1.24,52209,64583
"2019-07-04",53157.24,1.24,52209,64583
"2019-07-05",53057.24,1.24,52109,64583
"2019-07-06",53057.24,1.24,52109,64583
"2019-07-07",53057.24,1.24,52109,64583
"2019-07-08",52719.24,1.25,51771,64583
"2019-07-09",52795.24,1.25,51847,64583
"2019-07-10",53113.24,1.24,52165,64583
"2019-07-11",53253.24,1.23,52305,64583
"2019-07-12",53575.24,1.23,52627,64583
"2019-07-13",53575.24,1.23,52627,64583
"2019-07-14",53575.24,1.23,52627,64583
"2019-07-15",53579.24,1.23,52631,64583
"2019-07-16",53348.24,1.24,52242,64583
"2019-07-17",52890.24,1.25,51784,64583
"2019-07-18",53121.24,1.24,52015,64583
"2019-07-19",52731.24,1.25,51625,64583
"2019-07-20",52731.24,1.25,51625,64583
"2019-07-21",52731.24,1.25,51625,64583
"2019-07-22",52894.24,1.25,51788,64583
"2019-07-23",53356.24,1.24,52250,64583
"2019-07-24",53674.24,1.23,52568,64583
"2019-07-25",53328.24,1.24,52222,64583
"2019-07-26",53798.24,1.23,52692,64583
"2019-07-27",53798.24,1.23,52692,64583
"2019-07-28",53798.24,1.23,52692,64583
"2019-07-29",53678.24,1.23,52572,64583
"2019-07-30",53511.24,1.23,52405,64583
"2019-07-31",52711.24,1.25,51605,64583
"2019-08-01",52146.24,1.27,51040,64583
"2019-08-02",51672.24,1.28,50566,64583
"2019-08-03",51672.24,1.28,50566,64583
"2019-08-04",51672.24,1.28,50566,64583
"2019-08-05",49774.24,1.33,48668,64583
"2019-08-06",50518.24,1.31,49412,64583
"2019-08-07",50562.24,1.31,49456,64583
"2019-08-08",51724.24,1.28,50618,64583
"2019-08-09",51286.24,1.29,50180,64583
"2019-08-10",51286.24,1.29,50180,64583
"2019-08-11",51286.24,1.29,50180,64583
"2019-08-12",50514.24,1.31,49408,64583
"2019-08-13",51446.24,1.28,50340,64583
"2019-08-14",49595.24,1.33,48489,64583
"2019-08-15",49738.24,1.33,48474,64583
"2019-08-16",50586.24,1.31,49322,64583
"2019-08-17",50586.24,1.31,49322,64583
"2019-08-18",50586.24,1.31,49322,64583
"2019-08-19",51314.24,1.29,50050,64583
"2019-08-20",50825.24,1.3,49561,64583
"2019-08-21",51322.24,1.29,50058,64583
"2019-08-22",51294.24,1.29,50030,64583
"2019-08-23",49667.24,1.33,48403,64583
"2019-08-24",49667.24,1.33,48403,64583
"2019-08-25",49667.24,1.33,48403,64583
"2019-08-26",50299.24,1.32,49035,64583
"2019-08-27",50080.24,NA,NA,NA
"2019-08-28",50407.26,NA,NA,NA
