"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2016-09-27",99490.1,0.82,99529,81360
"2016-09-28",100563.32,0.81,100052,81360
"2016-09-29",100563.32,0,0,0
"2016-09-30",100960.58,1.03,100524,104040
"2016-10-01",100960.58,0.36,100562,36000
"2016-10-02",101335.58,0.36,100937,36000
"2016-10-03",100037.68,1.29,99639,128040
"2016-10-04",98429.74,0.61,98031,60000
"2016-10-05",99825.04,2.17,96676,209400
"2016-10-06",96275.54,2.45,95127,233400
"2016-10-07",102716.6,3.17,95231,301440
"2016-10-08",102716.6,2.95,102318,301440
"2016-10-09",104994.7,1.81,103858,188040
"2016-10-10",96744.38,3.15,95620,301440
"2016-10-11",100952.68,3.02,97179,293400
"2016-10-12",107900.58,2.89,104465,301440
"2016-10-13",106740.68,1.14,104905,120000
"2016-10-14",108539.08,3.3,105202,346800
"2016-10-15",108539.08,1.11,108140,120000
"2016-10-16",109914.08,1.1,109515,120000
"2016-10-17",112461.48,2.16,108250,233400
"2016-10-18",115162.8,1.63,111639,181440
"2016-10-19",116252.9,0.52,114729,60000
"2016-10-20",120585.2,0.97,117499,113400
"2016-10-21",120585.2,0,0,0
"2016-10-22",120585.2,0,0,0
"2016-10-23",120585.2,0,0,0
"2016-10-24",122578.4,0.94,120116,113400
"2016-10-25",119533.6,0.81,119135,96000
"2016-10-26",122741.08,1.01,118267,120000
"2016-10-27",122741.08,0,0,0
"2016-10-28",122741.08,0,0,0
"2016-10-29",122741.08,0,0,0
"2016-10-30",122741.08,0,0,0
"2016-10-31",122741.08,0,0,0
"2016-11-01",116775.34,2.08,115977,241440
"2016-11-02",116116.4,2.41,115318,277440
"2016-11-03",113016.4,2.47,112218,277440
"2016-11-04",110616.4,2.53,109818,277440
"2016-11-05",110616.4,2.53,109818,277440
"2016-11-06",113616.4,2.46,112818,277440
"2016-11-07",116316.4,2.4,115518,277440
"2016-11-08",114971.6,1.05,114174,120000
"2016-11-09",123290.84,2.62,122493,321240
"2016-11-10",129294.28,2.28,122493,278760
"2016-11-11",122313.44,2.48,121515,301440
"2016-11-12",122313.44,2.48,121515,301440
"2016-11-13",121888.44,2.49,121090,301440
"2016-11-14",124888.44,2.43,124090,301440
"2016-11-15",134407.6,0.96,124685,120000
"2016-11-16",135212.8,0,132290,0
"2016-11-17",135087.16,1.11,134464,149400
"2016-11-18",136794.32,0.83,136333,113400
"2016-11-19",136794.32,0,0,0
"2016-11-20",137009.42,0.44,135961,60000
"2016-11-21",138919.64,0.49,137635,68040
"2016-11-22",140165.92,0.61,138024,84000
"2016-11-23",139963.02,0.12,139333,16992
"2016-11-24",140065.02,0.06,139267,8496
"2016-11-25",135746.18,0.62,134948,84000
"2016-11-26",135746.18,0.62,134948,84000
"2016-11-27",136046.24,0.89,134528,120000
"2016-11-28",141753.54,0.81,140620,113400
"2016-11-29",142781.64,0,141522,0
"2016-11-30",144757.04,0.72,141362,102480
"2016-12-01",146601.36,0.48,142938,67968
"2016-12-02",147193.44,1.11,145376,162000
"2016-12-03",147193.44,0,0,0
"2016-12-04",147193.44,0,0,0
"2016-12-05",147193.44,0,0,0
"2016-12-06",147333.64,0.29,145927,42480
