"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-09-05",50000,0,0,0
"2019-09-06",50000,0,0,0
"2019-09-07",50000,0,0,0
"2019-09-08",50000,0,0,0
"2019-09-09",50110.86,1.45,49958,72608
"2019-09-10",49234.86,1.47,49202,72525
"2019-09-11",49665.86,1.46,49633,72525
"2019-09-12",50276.86,1.44,50244,72525
"2019-09-13",49914.86,1.45,49882,72525
"2019-09-14",49914.86,1.45,49882,72525
"2019-09-15",49914.86,1.45,49882,72525
"2019-09-16",49382.41,1.47,49349,72660
"2019-09-17",50542.41,1.44,50509,72660
"2019-09-18",50500.41,1.44,50467,72660
"2019-09-19",50610.41,1.44,50577,72660
"2019-09-20",50400.41,1.44,50367,72660
"2019-09-21",50400.41,1.44,50367,72660
"2019-09-22",50400.41,1.44,50367,72660
"2019-09-23",50845.55,1.45,50366,72786
"2019-09-24",50566.55,1.44,50534,72786
"2019-09-25",50724.55,1.44,50692,72786
"2019-09-26",50495.55,1.44,50463,72786
"2019-09-27",48721.55,1.49,48689,72786
"2019-09-28",48721.55,1.49,48689,72786
"2019-09-29",48721.55,1.49,48689,72786
"2019-09-30",49403.63,1.49,48668,72387
"2019-10-01",48531.63,1.49,48499,72387
"2019-10-02",47787.63,1.52,47755,72387
"2019-10-03",48411.63,1.5,48379,72387
"2019-10-04",49285.63,1.47,49253,72387
"2019-10-05",49285.63,1.47,49253,72387
"2019-10-06",49285.63,1.47,49220,72387
"2019-10-07",49084.61,1.49,49019,72805
"2019-10-08",48178.61,1.51,48113,72805
"2019-10-09",49166.61,1.48,49101,72805
"2019-10-10",49421.61,1.48,49356,72805
"2019-10-11",49415.61,1.48,49350,72805
"2019-10-12",49415.61,1.48,49350,72805
"2019-10-13",49415.61,1.48,49350,72805
"2019-10-14",49244.54,1.48,49349,72810
"2019-10-15",49439.54,1.47,49374,72810
"2019-10-16",48894.54,1.49,48829,72810
"2019-10-17",49161.54,1.48,49096,72810
"2019-10-18",48863.54,1.49,48798,72810
"2019-10-19",48863.54,1.49,48798,72810
"2019-10-20",48863.54,1.49,48798,72810
"2019-10-21",48884.02,1.5,48792,73324
"2019-10-22",48421.02,1.52,48355,73324
"2019-10-23",48319.02,1.52,48253,73324
"2019-10-24",49922.02,1.47,49856,73324
"2019-10-25",49816.02,1.47,49750,73324
"2019-10-26",49816.02,1.47,49750,73324
"2019-10-27",49816.02,1.47,49750,73324
"2019-10-28",50044.99,1.48,49742,73439
"2019-10-29",49749.99,1.48,49684,73439
"2019-10-30",50322.99,1.46,50257,73439
"2019-10-31",49837.99,1.48,49772,73439
"2019-11-01",50792.99,1.45,50727,73439
"2019-11-02",50792.99,1.45,50727,73439
"2019-11-03",50792.99,1.45,50727,73439
"2019-11-04",50022.99,1.47,49924,73439
"2019-11-05",49527.99,1.49,49429,73439
"2019-11-06",49487.99,1.49,49389,73439
"2019-11-07",48964.99,1.5,48866,73439
"2019-11-08",49023.99,1.5,48925,73439
"2019-11-09",49023.99,1.5,48925,73439
"2019-11-10",49023.99,1.5,48925,73439
"2019-11-11",49579.59,1.5,48919,73386
"2019-11-12",49426.59,1.49,49328,73386
"2019-11-13",49998.59,1.47,49900,73386
"2019-11-14",50235.59,1.46,50137,73386
"2019-11-15",50401.59,1.46,50303,73386
"2019-11-16",50401.59,1.46,50303,73386
"2019-11-17",50401.59,1.46,50303,73386
"2019-11-18",50660.84,1.46,50299,73412
"2019-11-19",50325.84,1.46,50227,73412
"2019-11-20",49121.84,1.5,49023,73412
"2019-11-21",48243.84,1.52,48145,73412
"2019-11-22",48578.84,1.51,48480,73412
"2019-11-23",48578.84,1.51,48480,73412
"2019-11-24",48578.84,1.51,48480,73412
"2019-11-25",49548.82,1.53,48472,74118
"2019-11-26",49568.4,1.43,49413,70540
"2019-11-27",49661.69,0.1,49304,5049
"2019-11-28",49661.69,0.08,49563,3979
"2019-11-29",49893.78,0.11,49700,5462
"2019-11-30",49893.78,0.1,49795,4970
"2019-12-01",49893.78,0.1,49795,4970
"2019-12-02",49778.53,0.14,49879,6964
"2019-12-03",49595.33,0.15,49470,7298
"2019-12-04",49709.64,0.16,49484,7789
"2019-12-05",49987.55,0.14,49851,6775
"2019-12-06",50071.71,0.14,50041,6784
"2019-12-07",50071.71,0.14,49940,6784
"2019-12-08",50071.71,0.14,49940,6784
"2019-12-09",49744.61,0.16,49908,7768
"2019-12-10",49148.79,0.2,49123,9627
"2019-12-11",49058.27,0.19,48934,9124
"2019-12-12",48734.2,0.17,48863,8151
"2019-12-13",49792.13,0.3,47060,14136
"2019-12-14",49792.13,0.14,49660,7140
"2019-12-15",49792.13,0.14,49660,7140
"2019-12-16",49779.93,0.19,49586,9279
"2019-12-17",51804.96,0.16,51968,8382
"2019-12-18",51927.36,0.17,51464,8763
"2019-12-19",51812.36,0.16,51680,8238
"2019-12-20",51828.36,0.16,51696,8238
"2019-12-21",51828.36,0.16,51696,8238
"2019-12-22",51828.36,0.16,51696,8238
"2019-12-23",50792.26,0.24,50954,12034
"2019-12-24",50882.26,0.24,50750,12034
"2019-12-25",50882.26,0.24,50750,12034
"2019-12-26",51671.26,0.23,51539,12034
"2019-12-27",51095.18,0.25,50963,12519
"2019-12-28",51095.18,0.25,50963,12519
"2019-12-29",51095.18,0.25,50963,12519
"2019-12-30",51899.68,0.3,50504,14916
"2019-12-31",52389.68,0.29,52258,14916
"2020-01-01",52389.68,0.29,52258,14916
"2020-01-02",51337.48,0.23,52256,11976
"2020-01-03",51914.48,0.26,50046,12996
"2020-01-04",51914.48,0.25,51749,12996
"2020-01-05",51914.48,0.25,51749,12996
"2020-01-06",53768.7,0.37,51738,19276
"2020-01-07",53719.56,0.13,53592,6952
"2020-01-08",54037.82,0.15,53465,7974
"2020-01-09",53689.02,0.13,53768,7057
"2020-01-10",53328.74,0.24,53344,12975
"2020-01-11",53328.74,0.22,53164,11880
"2020-01-12",53328.74,0.22,53164,11880
"2020-01-13",53695.74,0.26,53129,13994
"2020-01-14",54341.24,0.24,54106,13139
"2020-01-15",54461.56,0.1,54146,5615
"2020-01-16",54649.88,0.11,54231,6106
"2020-01-17",54860.88,0.1,54500,5587
"2020-01-18",54860.88,0.08,54696,4643
"2020-01-19",54860.88,0.08,54696,4643
"2020-01-20",54860.88,0.08,54696,4643
"2020-01-21",54570.43,0.1,54706,5641
"2020-01-22",55242.93,0.11,54887,6137
"2020-01-23",55687.55,0.09,55068,5128
"2020-01-24",55869.26,0.07,55634,3645
"2020-01-25",55869.26,0.07,55704,4142
"2020-01-26",55869.26,0.07,55704,4142
"2020-01-27",54867.12,0.12,55557,6409
"2020-01-28",56150.3,0.07,55927,4138
"2020-01-29",56178.3,0.07,56013,3645
"2020-01-30",56306.3,0.05,56119,2989
"2020-01-31",56341.13,0.06,56140,3493
"2020-02-01",56341.13,0.04,56176,1990
"2020-02-02",56341.13,0.04,56176,1990
"2020-02-03",56373.21,0.06,56136,3472
"2020-02-04",56445.79,0.04,56256,1990
"2020-02-05",56480.51,0.05,56243,2977
"2020-02-06",56493.51,0.04,56296,1990
"2020-02-07",56593.77,0.05,56309,2988
"2020-02-08",56593.77,0.05,56396,2988
"2020-02-09",56593.77,0.05,56396,2988
"2020-02-10",56740.03,0.04,56392,2487
"2020-02-11",56683.63,0.04,56507,2476
"2020-02-12",56562.52,0.05,56493,2993
"2020-02-13",56829.75,0.05,56361,3001
"2020-02-14",56916.52,0.06,56615,3502
