"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2017-03-01",10000,0,0,0
"2017-03-02",10000,0,0,0
"2017-03-03",10000,0,0,0
"2017-03-04",10000,0,0,0
"2017-03-05",10000,0,0,0
"2017-03-06",9933.5,1.21,9934,12000
"2017-03-07",10062.5,1.19,10063,12000
"2017-03-08",10184.5,1.19,10113,12000
"2017-03-09",9980.5,1.7,9909,16800
"2017-03-10",9823,0,9879,0
"2017-03-11",9823,0,0,0
"2017-03-12",9823,0,0,0
"2017-03-13",9823,0,0,0
"2017-03-14",9823,0,0,0
"2017-03-15",10607,1.72,9751,16800
"2017-03-16",10592,0,10520,42
"2017-03-17",10732,0,10660,42
"2017-03-18",10732,0,10660,42
"2017-03-19",10748,0,10676,42
"2017-03-20",10757,0,10685,42
"2017-03-21",10945,0,10879,0
"2017-03-22",10945,0,0,0
"2017-03-23",10945,0,0,0
"2017-03-24",10884,1.33,10812,14400
"2017-03-25",10884,1.33,10812,14400
"2017-03-26",11184,1.3,11112,14400
"2017-03-27",11280,1.28,11208,14400
"2017-03-28",11113,0,11181,0
"2017-03-29",11113,0,0,0
"2017-03-30",11113,0,0,0
"2017-03-31",11113,0,0,0
"2017-04-01",11113,0,0,0
"2017-04-02",11113,0,0,0
"2017-04-03",11113,0,0,0
"2017-04-04",11113,0,0,0
"2017-04-05",10926,1.96,11032,21600
"2017-04-06",10926,0,0,0
"2017-04-07",10926,0,0,0
"2017-04-08",10926,0,0,0
"2017-04-09",10926,0,0,0
"2017-04-10",10926,0,0,0
"2017-04-11",10934.5,1.56,10782,16800
"2017-04-12",10548,1.57,10700,16800
"2017-04-13",10721.5,1.62,10401,16800
"2017-04-14",10782.5,1.58,10639,16800
"2017-04-15",10782.5,1.58,10639,16800
"2017-04-16",10771.5,1.58,10628,16800
"2017-04-17",10411,1.04,10372,10806
"2017-04-18",10405.5,0.01,10265,110
"2017-04-19",10219,0,10131,0
"2017-04-20",10236.5,1.67,10072,16800
"2017-04-21",10192,0,10135,0
"2017-04-22",10192,0,0,0
"2017-04-23",10040,0.97,9896,9600
"2017-04-24",9984,0.98,9840,9600
"2017-04-25",10227,0.95,10083,9600
"2017-04-26",10249,0.95,10105,9600
"2017-04-27",10513,0.93,10369,9600
"2017-04-28",10648,2.3,10456,24000
"2017-04-29",10648,2.28,10504,24000
"2017-04-30",10458,2.33,10314,24000
"2017-05-01",10501,1.39,10357,14400
"2017-05-02",10629,2.75,10477,28800
"2017-05-03",10897,1.34,10776,14400
"2017-05-04",11044,0.88,10884,9600
"2017-05-05",11301,0.86,11157,9600
"2017-05-06",11301,0.86,11157,9600
"2017-05-07",11301,0.87,11085,9600
"2017-05-08",11060,1.5,11064,16581
"2017-05-09",11105,0.64,10889,6981
"2017-05-10",11002,0,10897,0
"2017-05-11",11002,0,0,0
"2017-05-12",11226,1.34,10786,14400
"2017-05-13",11226,1.31,11010,14400
"2017-05-14",11226,1.31,11010,14400
"2017-05-15",11450,1.29,11234,14484
"2017-05-16",11719,0.01,11580,84
"2017-05-17",11766,1.04,11503,12000
"2017-05-18",11554,0,11422,0
"2017-05-19",11895,1.06,11338,12000
"2017-05-20",11895,1.03,11679,12000
"2017-05-21",11871,1.03,11655,12000
"2017-05-22",11684,0,11590,0
"2017-05-23",11735,0.01,11468,87
"2017-05-24",11882,1.46,11468,16800
"2017-05-25",11528,0,11389,0
"2017-05-26",11586,0.01,11312,86
"2017-05-27",11586,0.01,11370,86
"2017-05-28",11532,0.01,11316,86
"2017-05-29",11732,0.01,11516,86
"2017-05-30",11740,1.26,11495,14487
"2017-05-31",12129,1.21,11913,14400
"2017-06-01",11974,1.22,11758,14400
"2017-06-02",12387,1.92,12134,23290
"2017-06-03",12387,1.91,12171,23290
"2017-06-04",12324,1.92,12108,23290
"2017-06-05",12234,0.74,12088,8890
