"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-08-01",50104.5,3.2,49865,159360
"2019-08-02",51193.4,1.16,51292,59254
"2019-08-03",51193.4,1.16,51065,59254
"2019-08-04",51193.4,1.16,51065,59254
"2019-08-05",52957.9,2.62,52154,136608
"2019-08-06",55102.9,3.81,54149,206532
"2019-08-07",56366.9,3.61,52606,189882
"2019-08-08",55863.4,1.31,55735,72954
"2019-08-09",56862.9,2.55,56473,143942
"2019-08-10",56862.9,2.24,56735,127008
"2019-08-11",56862.9,2.24,56735,127008
"2019-08-12",58477.4,1.2,57927,69693
"2019-08-13",58510.9,1.04,58347,60516
"2019-08-14",60297.7,2.78,59963,166531
"2019-08-15",60386.7,1.07,60317,64293
"2019-08-16",59325.2,0.62,59197,36581
"2019-08-17",59325.2,0.62,59197,36581
"2019-08-18",59325.2,0.62,59197,36581
"2019-08-19",58635.4,2.32,58507,135846
"2019-08-20",57755.3,2,57627,115376
"2019-08-21",58710.3,1.97,58582,115376
"2019-08-22",58370.57,1.7,57806,98069
"2019-08-23",56094.1,0.97,57840,55827
"2019-08-24",56094.1,0,0,0
"2019-08-25",56094.1,0,0,0
"2019-08-26",56145.1,0.93,55963,52074
"2019-08-27",56040.1,0.93,55912,52074
"2019-08-28",56214.1,0.93,56086,52074
"2019-08-29",56967.1,0.97,56869,55134
"2019-08-30",56838.1,0.97,56710,55134
"2019-08-31",56838.1,0.97,56710,55134
"2019-09-01",56838.1,0.97,56582,55134
"2019-09-02",56838.1,0.97,56582,55134
"2019-09-03",56310.1,0.98,56054,55134
"2019-09-04",57051.1,0.97,56795,55134
"2019-09-05",58065.1,0.95,57809,55134
"2019-09-06",58011.1,0.95,57755,55134
"2019-09-07",58011.1,0.95,57755,55134
"2019-09-08",58011.1,0.95,57755,55134
"2019-09-09",57853,0.61,57597,34918
"2019-09-10",58904.1,3.57,57977,206877
"2019-09-11",60245.6,0,59622,0
"2019-09-12",60245.6,0,0,0
"2019-09-13",60245.6,0,0,0
"2019-09-14",60245.6,0,0,0
"2019-09-15",60245.6,0,0,0
"2019-09-16",60448.34,1.19,59863,71330
"2019-09-17",59897.74,0.91,59815,54425
"2019-09-18",60387.79,1.23,59371,72841
"2019-09-19",59410.94,1.26,59301,74641
"2019-09-20",58586.99,0.62,58331,36008
"2019-09-21",58586.99,0.62,58331,36008
"2019-09-22",58586.99,0.62,58331,36008
"2019-09-23",58033.49,3.11,57777,179963
"2019-09-24",59510.49,3.04,59254,179963
"2019-09-25",58224.49,2.61,57968,151172
"2019-09-26",58301.94,2.29,58208,133118
"2019-09-27",59959.94,2.23,59704,133118
"2019-09-28",59959.94,2.23,59704,133118
"2019-09-29",59959.94,2.23,59704,133118
"2019-09-30",59549.49,1.94,59698,115872
"2019-10-01",60394.39,2.08,59629,124266
"2019-10-02",62209.69,0.48,61755,29736
"2019-10-03",62761.89,1.62,62244,100546
"2019-10-04",63436.79,1.44,62960,90528
"2019-10-05",63436.79,1.44,63053,90528
"2019-10-06",63436.79,1.44,63053,90528
"2019-10-07",63156.79,1.93,63049,121443
"2019-10-08",60830.24,3.33,60446,201173
"2019-10-09",62000.24,3.63,61616,223493
"2019-10-10",62402.24,3.6,62018,223493
"2019-10-11",66052.64,1.77,65669,115950
"2019-10-12",66052.64,1.77,65669,115950
"2019-10-13",66052.64,1.77,65669,115950
"2019-10-14",66644.64,1.75,66261,115950
"2019-10-15",67565.84,1.48,66247,98046
"2019-10-16",66928.74,1.46,66569,97180
"2019-10-17",67288.54,2.17,66760,144636
"2019-10-18",66949.44,2.51,66299,166416
"2019-10-19",66949.44,2.5,66565,166416
"2019-10-20",66949.44,2.5,66565,166416
"2019-10-21",66317.94,3.5,65934,230496
"2019-10-22",65473.44,3.08,65089,200592
"2019-10-23",64907.64,3.06,64101,196020
"2019-10-24",66593.14,1.15,65610,75240
"2019-10-25",67167.14,1.13,66783,75240
"2019-10-26",67167.14,1.13,66783,75240
"2019-10-27",67167.14,1.13,66783,75240
"2019-10-28",68244.64,2.19,67457,147858
"2019-10-29",68026.04,1.72,67642,116178
"2019-10-30",69035.34,1.06,68378,72618
"2019-10-31",69064.39,0.59,68521,40441
"2019-11-01",69431.39,0.59,68919,40441
"2019-11-02",69431.39,0.59,68919,40441
"2019-11-03",69431.39,0.59,68919,40441
"2019-11-04",69898.64,1.16,69175,80510
"2019-11-05",69915.64,0.56,69404,39145
"2019-11-06",69832.64,0.56,69321,39145
"2019-11-07",69963.64,0.56,69452,39145
"2019-11-08",70227.54,1.64,69471,114012
"2019-11-09",70227.54,1.44,69716,100275
"2019-11-10",70227.54,1.44,69716,100275
"2019-11-11",70338.2,1.78,69714,123954
"2019-11-12",71053.06,1.38,70076,96941
"2019-11-13",71297.16,1.4,70622,98999
"2019-11-14",71110.66,1.25,70682,88523
"2019-11-15",70591.56,2.21,70080,154718
"2019-11-16",70591.56,2.21,70080,154718
"2019-11-17",70591.56,2.21,70080,154718
"2019-11-18",73518.16,2.01,70076,140621
"2019-11-19",74572.66,0.96,73629,70381
"2019-11-20",73703.56,1.58,73059,115437
"2019-11-21",72251.06,2.16,71739,155058
"2019-11-22",72114.56,2.32,71838,166379
"2019-11-23",72114.56,2.32,71603,166379
"2019-11-24",72114.56,2.32,71603,166379
"2019-11-25",72011.56,2.33,71500,166379
"2019-11-26",73235.76,2.06,71499,147320
"2019-11-27",72939.06,2.25,72427,163169
"2019-11-28",72939.06,2.25,72427,163169
"2019-11-29",76523.06,1.38,75776,104717
"2019-11-30",76523.06,1.23,75883,93629
"2019-12-01",76523.06,1.23,75883,93629
"2019-12-02",75756.36,1.69,75186,126698
"2019-12-03",76784.36,1.37,75876,104056
"2019-12-04",77062.66,1.73,76174,132157
"2019-12-05",77470.06,1.33,76790,102479
"2019-12-06",76690.06,1.16,76816,89037
"2019-12-07",76690.06,0.9,76050,68623
"2019-12-08",76690.06,0.9,76050,68623
"2019-12-09",75758.16,2.03,74884,151981
"2019-12-10",75800.16,2.02,75160,151981
"2019-12-11",76151.16,2.01,75511,151981
"2019-12-12",77806.16,2.01,77166,154807
"2019-12-13",77955.01,1.68,77232,129560
"2019-12-14",77955.01,1.68,77315,129560
"2019-12-15",77955.01,1.68,77315,129560
"2019-12-16",79712.96,1.48,79035,117132
"2019-12-17",79424.36,1.52,78787,119917
"2019-12-18",79519.46,1.54,78258,120760
"2019-12-19",79708.96,1.23,78969,97371
"2019-12-20",80018.11,1.46,78949,115010
"2019-12-21",80018.11,1.45,79378,115010
"2019-12-22",80018.11,1.45,79378,115010
"2019-12-23",78861.14,1.66,78161,129794
"2019-12-24",79052.34,2.22,77764,172553
"2019-12-25",79052.34,0.86,78412,67607
"2019-12-26",80845.74,0.32,80198,26003
"2019-12-27",80180.44,1.65,79372,131335
"2019-12-28",80180.44,1.65,79540,131335
"2019-12-29",80180.44,1.65,79540,131335
"2019-12-30",79158.44,1.68,78390,131335
"2019-12-31",79470.44,1.67,78702,131335
"2020-01-01",79470.44,1.67,78702,131335
"2020-01-02",79548.04,2.29,78696,180312
"2020-01-03",78842.74,1.7,78196,132907
"2020-01-04",78842.74,1.48,78075,115878
"2020-01-05",78842.74,1.48,78075,115878
"2020-01-06",79223.84,2.11,77580,163424
"2020-01-07",78887.24,1.93,78254,151003
"2020-01-08",80051.64,2.04,78021,158989
"2020-01-09",80558.24,0.97,79609,76900
"2020-01-10",80060.34,1.1,80192,88037
"2020-01-11",80060.34,0.89,79292,70510
"2020-01-12",80060.34,0.89,79292,70510
"2020-01-13",79095.64,2.29,77808,177977
"2020-01-14",80753.26,0.72,78320,56554
"2020-01-15",80948.86,0.73,80147,58521
"2020-01-16",81399.46,0.64,80581,51868
"2020-01-17",81175.77,0.87,80341,69862
"2020-01-18",81175.77,0.48,80408,38272
"2020-01-19",81175.77,0.48,80408,38272
"2020-01-20",81175.77,0.48,80408,38272
"2020-01-21",81243.58,1.39,80255,111645
"2020-01-22",80715.8,1.37,80481,110571
"2020-01-23",80759.4,1.23,79577,97568
"2020-01-24",78623.64,1.78,79964,142448
"2020-01-25",78623.64,0.3,77856,23637
"2020-01-26",78623.64,0.3,77856,23637
"2020-01-27",78100.04,0.46,77339,35456
"2020-01-28",78584.44,1.17,77423,90911
"2020-01-29",78935.04,1.24,77899,96593
"2020-01-30",79410.44,0.59,78205,46344
"2020-01-31",77976.34,1.7,78504,133240
"2020-02-01",77976.34,1.49,77080,115035
"2020-02-02",77976.34,1.49,77080,115035
"2020-02-03",75521.34,2.76,74677,205810
"2020-02-04",77949.84,0.76,77054,58200
"2020-02-05",80009.3,0.31,79109,24315
"2020-02-06",79337.3,1.16,78797,91417
"2020-02-07",78473.4,1.98,78435,154993
"2020-02-08",78473.4,1.41,77577,109047
"2020-02-09",78473.4,1.41,77577,109047
"2020-02-10",79786.4,1.38,78890,109047
"2020-02-11",79802.8,1.63,78652,128291
"2020-02-12",81056.5,1.36,80014,109047
"2020-02-13",80625.16,0.6,79839,48109
"2020-02-14",80736.41,0.62,79725,49713
"2020-02-15",80736.41,0.62,79840,49713
"2020-02-16",80736.41,0.62,79840,49713
"2020-02-17",80736.41,0.62,79840,49713
"2020-02-18",80794.91,0.62,79805,49713
"2020-02-19",81242.16,0.32,79898,25658
"2020-02-20",80580.61,0.76,79865,60499
"2020-02-21",81039.46,2.01,79169,159168
"2020-02-22",81039.46,0.86,80143,68802
"2020-02-23",81039.46,0.86,80143,68802
"2020-02-24",83638.96,0,80141,0
"2020-02-25",84700.66,0.92,82739,76524
"2020-02-26",84363.66,0.48,83413,40013
"2020-02-27",85492.66,0.66,84239,55402
"2020-02-28",84944.16,0.61,83920,51210
"2020-02-29",84944.16,0.61,83920,51210
"2020-03-01",84944.16,0.61,83920,51210
"2020-03-02",82401.26,1.01,83524,84290
"2020-03-03",82281.36,0.35,80991,28616
"2020-03-04",82866.36,0.29,81450,23751
"2020-03-05",79709.06,1.29,79182,102271
"2020-03-06",79438.56,0.31,78415,23995
"2020-03-07",79438.56,0.31,78415,23995
"2020-03-08",79438.56,0.31,78408,23995
"2020-03-09",80746.06,0.39,79454,30851
"2020-03-10",81426.62,0.31,79594,24291
"2020-03-11",80713.78,0.08,79703,6106
"2020-03-12",81110.18,0.11,80101,9185
"2020-03-13",81116.78,0.35,80199,27853
"2020-03-14",81116.78,0.27,80093,21365
"2020-03-15",81116.78,0.27,80093,21365
"2020-03-16",81266.08,0.45,79342,35702
"2020-03-17",81559.02,0.55,79175,43190
"2020-03-18",83886.46,0,82741,0
"2020-03-19",83779.46,0.05,82859,4067
"2020-03-20",83683.46,0.19,82872,15832
"2020-03-21",83683.46,0,0,0
"2020-03-22",83683.46,0,0,0
"2020-03-23",84495.02,0.33,82657,27286
"2020-03-24",84166.8,0.8,82776,66081
"2020-03-25",85268.06,0.49,83887,40867
"2020-03-26",85500.56,0.13,84458,11379
"2020-03-27",85607.66,1.29,83403,107755
"2020-03-28",85607.66,1.27,84584,107755
"2020-03-29",85607.66,1.28,84456,107755
"2020-03-30",86429.16,0.92,85208,78100
"2020-03-31",86300.66,0.48,85073,41188
"2020-04-01",84104.56,1.53,82687,126285
"2020-04-02",83450.61,2.16,82099,177318
"2020-04-03",81386.26,2.01,81773,164017
"2020-04-04",81386.26,1.82,80234,145644
"2020-04-05",81386.26,1.82,80234,145644
"2020-04-06",79600.36,1.5,80203,119951
"2020-04-07",82698.36,0.6,81974,49524
"2020-04-08",83101.66,0.55,81364,44778
"2020-04-09",83895.96,0.32,82709,26705
"2020-04-10",83895.96,0.32,82744,26705
"2020-04-11",83895.96,0.32,82744,26705
"2020-04-12",83895.96,0.32,82744,26705
"2020-04-13",84018.86,1.04,82543,86069
"2020-04-14",83069.96,1.25,82867,103947
"2020-04-15",81093.96,2.44,79942,195246
"2020-04-16",81684.96,2.37,80827,191329
"2020-04-17",82353.86,1.28,81051,103404
"2020-04-18",82353.86,0.73,81202,59337
"2020-04-19",82353.86,0.73,81202,59337
"2020-04-20",83582.46,0.92,82273,75587
"2020-04-21",85464.82,0.5,84375,42170
"2020-04-22",84435.15,0.46,83250,38283
"2020-04-23",83943.24,1.62,82667,133630
"2020-04-24",84295.04,1.72,82850,142712
"2020-04-25",84295.04,1.72,83143,142712
"2020-04-26",84295.04,1.72,83143,142712
"2020-04-27",82283.88,1.69,81192,136854
"2020-04-28",81721.68,1.95,80985,157626
"2020-04-29",84879.38,1.15,82719,95048
"2020-04-30",84293.8,0.95,83114,78691
"2020-05-01",82932.4,1.09,81525,88500
"2020-05-02",82932.4,1.08,81652,88500
"2020-05-03",82932.4,1.08,81652,88500
"2020-05-04",82905.8,0.92,81926,75041
"2020-05-05",84085,1.46,82536,120136
"2020-05-06",84017.4,0.89,82706,73488
"2020-05-07",84239.5,1.21,82726,99955
"2020-05-08",84701.52,1.16,83108,96061
"2020-05-09",84701.52,1.15,83422,96061
"2020-05-10",84701.52,1.15,83422,96061
"2020-05-11",84415.92,1.95,83518,162652
"2020-05-12",82973.52,1.49,82558,123301
"2020-05-13",81943.69,2.18,80664,175573
"2020-05-14",84288.62,2.11,82621,174021
"2020-05-15",83912.82,2.22,82633,183329
"2020-05-16",83912.82,2.22,82633,183329
"2020-05-17",83912.82,2.22,82633,183329
"2020-05-18",84791.11,2.15,84357,181563
"2020-05-19",84725.11,1.83,83445,153104
"2020-05-20",86201.84,1.82,83429,151591
"2020-05-21",85329.96,1.37,84112,115652
"2020-05-22",85658.96,2.62,83929,220001
"2020-05-23",85658.96,2.61,84379,220001
"2020-05-24",85658.96,2.61,84379,220001
"2020-05-25",85658.96,2.61,84379,220001
"2020-05-26",85099.46,2.37,83977,198789
"2020-05-27",85240.96,1.76,82943,145979
"2020-05-28",84303.22,1.95,83223,162399
"2020-05-29",85207.92,1.75,83747,146183
"2020-05-30",85207.92,1.74,83800,146183
"2020-05-31",85207.92,1.74,83800,146183
"2020-06-01",85885.32,1.61,84212,135482
"2020-06-02",85971.52,1.27,84080,106980
"2020-06-03",86618.32,0.82,85392,70331
"2020-06-04",87242.02,1.16,86050,99428
"2020-06-05",89124.28,0.84,87492,73223
"2020-06-06",89124.28,0.28,87716,24666
"2020-06-07",89124.28,0.28,87716,24666
"2020-06-08",89648.14,1.55,87681,135722
"2020-06-09",86755,1.55,85395,132154
"2020-06-10",84676.4,1.67,83366,139339
"2020-06-11",90301.65,0.65,83263,53864
"2020-06-12",90476.98,0.6,89060,53391
"2020-06-13",90476.98,0,0,0
"2020-06-14",90476.98,0,0,0
"2020-06-15",89173.56,1.96,87566,171516
"2020-06-16",90328.26,1.39,89066,123963
"2020-06-17",88105.61,1.58,87896,138818
"2020-06-18",88072.79,1.62,86730,140457
"2020-06-19",87502.44,1.75,86207,151044
"2020-06-20",87502.44,1.56,86094,134692
"2020-06-21",87502.44,1.56,86094,134692
"2020-06-22",89095,1.53,87210,133210
"2020-06-23",89377.41,1.41,88401,124935
"2020-06-24",85620.99,1.27,84837,108105
"2020-06-25",84527.99,1.28,83120,106401
"2020-06-26",85492.27,1.85,83341,154532
"2020-06-27",85492.27,1.17,83956,98612
"2020-06-28",85492.27,1.17,83956,98612
"2020-06-29",85902.52,1.28,83388,106447
"2020-06-30",87068.95,1.07,85409,91439
"2020-07-01",87078.4,1.03,85553,87933
"2020-07-02",86588.79,2.02,85564,172753
"2020-07-03",86588.79,1.45,85053,123203
"2020-07-04",86588.79,1.45,85053,123203
"2020-07-05",86588.79,1.45,85053,123203
"2020-07-06",87069.54,1.87,86011,160495
"2020-07-07",87005.84,1.45,85457,124224
"2020-07-08",85739.32,1.77,84388,149370
"2020-07-09",88361.32,1.51,86615,131150
"2020-07-10",87102.14,1,85567,85890
"2020-07-11",87102.14,0.75,85566,64570
"2020-07-12",87102.14,0.75,85566,64570
